lag,acf
0,1.0
1,0.6129790539358423
2,0.4561700071444955
3,0.37304293212083267
4,0.22585026207561942
5,0.1996605875845462
6,0.12853909590514817
7,0.051196519706831395
8,0.0030461338351250723
9,-0.02574848470799649
10,-0.0518160806933684
11,-0.06074442565941315
12,-0.0755671624085961
13,-0.057629246089637216
14,-0.05085855882754809
15,-0.06550198469139645
16,-0.04701724852913959
17,-0.035973180377208355
18,-0.022640916180110993
19,-0.03742949712363752
20,-0.06743938964651351
21,-0.05782733440623043
22,-0.05165916209833001
23,-0.10008180382797054
24,-0.11429938557008591
25,-0.11951081887989658
26,-0.15133195268607272
27,-0.12095262988008933
28,-0.12588845111115063
29,-0.12542839346733534
30,-0.13642132806777818
31,-0.14997828000821686
32,-0.08419370245998772
33,-0.04906488541581699
34,-0.052016133743985955
35,0.009811699412591943
36,0.05421929025840789
37,0.03556547540336204
38,0.010316088096915402
39,-0.00928614939959831
40,-0.018985903288537363
41,0.02219192992199211
42,0.0007556523487621278
43,0.08459199745579617
44,0.05580364647720889
45,0.10182117347081886
46,0.12496569951384065
47,0.09773095548671513
48,0.06577549812721367
