bin,y_pred_mean,y_true_mean,n
"(-3.593, 2.418]",1.547433095307265,1.4750633312222925,12677.0
"(2.418, 3.229]",2.864837651987158,2.7773820829376383,12677.0
"(3.229, 3.87]",3.5468712536967995,3.493076983938603,12676.0
"(3.87, 4.591]",4.23421486367746,4.099896931737097,12677.0
"(4.591, 5.297]",4.938776241848521,4.799761336515513,12676.0
"(5.297, 5.998]",5.6463821528940885,5.49708256734074,12677.0
"(5.998, 6.703]",6.346758750552914,6.109111361079865,12676.0
"(6.703, 7.459]",7.076195109039649,6.909457389341289,12677.0
"(7.459, 8.324]",7.885078898169383,7.6559877340219495,12676.0
"(8.324, 9.28]",8.782891527872364,8.519199611147116,12677.0
"(9.28, 10.334]",9.797393032982601,9.68044837949801,12676.0
"(10.334, 11.502]",10.902205582930538,10.821489482660603,12677.0
"(11.502, 12.793]",12.146317699643983,12.055415000408063,12676.0
"(12.793, 14.26]",13.499639948327026,13.529739016608033,12677.0
"(14.26, 15.984]",15.098838765350365,15.238596491228071,12676.0
"(15.984, 18.068]",17.00344767829734,17.136294027565086,12677.0
"(18.068, 20.538]",19.25144729968426,19.444150004015096,12676.0
"(20.538, 23.816]",22.11407420144563,22.339923163118296,12677.0
"(23.816, 29.391]",26.184911702996047,26.500757032432862,12676.0
"(29.391, 80.014]",38.58088714564882,39.132615067733504,12677.0
