hour,alpha,beta,n
0,-0.32323607749278693,1.0178495589397087,13006.0
1,-0.5834211703647266,1.05664301699347,15708.0
2,-0.4724779792375703,1.0501191044782372,4015.0
4,-0.3752972827797486,1.022196083636116,5381.0
5,-0.19638940233258198,1.0075981034232815,7258.0
6,-0.08783035096904489,1.0287083439943492,8332.0
7,-0.0756570382463604,1.0305431955158746,7212.0
8,-0.041824575741832695,1.0449618998540393,7377.0
9,0.01949470764339564,1.037507136308477,9139.0
10,-0.21098135175593052,1.0298520009405634,8484.0
11,-0.1499197155404803,1.022826753923949,10632.0
12,-0.22190770772644425,1.0328105042392142,13324.0
13,-0.4397380594836232,1.030145600780608,13931.0
14,-0.1336485263755668,1.0110227992959733,7587.0
15,,,11379.0
16,-0.7328850649665283,1.0397829360069224,9132.0
17,,,19375.0
18,,,15370.0
19,,,13149.0
20,-0.2151179946200707,1.0136533686173046,13320.0
21,-0.1906468177863442,1.0073525564822952,13068.0
22,-0.3259982128859063,1.0194283510709166,15255.0
23,-0.4342487463716109,1.0301355953244695,12097.0
