station_id,max_run,n
12043,29,230
5032,26,231
14003,24,232
15020,23,226
43005,23,230
21023,22,227
41202,22,225
42210,21,234
31301,21,232
44007,21,234
21108,20,228
26001,20,229
21706,20,226
44005,20,231
15012,20,227
34011,20,229
8015,20,228
21109,20,227
16025,20,227
8017,19,229
32019,19,225
17043,19,232
18202,19,228
12039,19,225
15021,19,229
42010,19,230
21111,19,226
21006,19,229
1013,19,231
27002,19,229
16124,19,231
12165,19,230
12161,19,228
16136,18,227
11024,18,229
32012,18,228
34010,18,227
16041,18,231
35014,18,230
15034,18,227
15032,18,229
16029,18,230
40015,18,229
23104,18,231
13051,18,222
12163,18,228
44008,18,231
12106,18,227
13118,18,232
7023,17,227
26009,17,229
11033,17,230
8009,17,232
7005,17,222
7003,17,233
21501,17,226
17203,17,228
13125,17,230
21308,17,227
21955,17,229
44101,16,228
10206,16,226
7102,16,229
11017,16,229
5123,16,229
11023,16,228
2003,16,223
15055,16,229
9024,16,231
34002,16,226
6017,16,233
30004,16,227
42003,16,226
5007,16,231
26008,16,226
12031,16,232
8036,16,226
13010,16,230
30005,16,228
12119,16,225
11029,15,223
6013,15,231
17022,15,234
17007,15,229
16012,15,227
6005,15,227
15003,15,224
20001,15,228
5119,15,231
26005,15,228
42030,15,228
8102,15,232
18025,15,233
13054,15,225
13103,15,229
44017,15,234
13047,15,230
12151,15,231
12204,15,226
46001,15,229
24007,15,224
16107,15,228
8001,15,233
7015,14,232
44004,14,227
13055,14,227
13116,14,226
26006,14,222
45005,14,230
8054,14,230
23902,14,229
35018,14,229
11014,14,222
17040,14,227
15127,14,227
15062,14,226
8025,14,233
11042,14,229
40001,14,235
17004,14,232
8117,14,228
15025,14,233
15006,14,230
51005,14,230
14020,14,231
42004,14,226
14026,14,228
22006,14,231
14036,13,228
14023,13,230
12033,13,226
11036,13,226
8103,13,232
22302,13,228
12001,13,228
12008,13,224
8008,13,225
32017,13,234
8020,13,230
11019,13,226
8203,13,230
20047,13,225
5034,13,227
6104,13,229
47001,13,224
13006,13,226
22703,13,227
12156,13,229
5026,13,232
13053,13,231
13046,13,229
13041,13,229
7009,13,228
17005,13,226
33001,13,234
21008,13,227
16116,13,226
4007,13,229
32016,13,226
32022,13,82
2108,13,227
12026,12,228
47005,12,228
5027,12,223
3001,12,225
18011,12,234
5121,12,228
31010,12,231
15125,12,227
8052,12,226
8549,12,229
15009,12,230
14011,12,228
9001,12,233
16036,12,227
30002,12,232
16024,12,229
2008,12,231
17011,12,225
4002,12,224
1102,12,227
20045,12,231
21011,12,227
11001,12,228
9025,12,226
4013,12,230
19032,12,224
1021,12,226
21032,12,225
16105,12,231
43007,12,227
13117,11,229
8028,11,228
15133,11,232
21205,11,226
2012,11,230
16108,11,231
35008,11,228
40002,11,228
2009,11,231
32010,11,229
4011,11,228
15040,11,232
15030,11,223
4019,11,231
20039,11,232
21313,11,229
17127,11,228
15028,11,231
12011,11,227
41101,11,224
8110,11,231
8003,11,229
10042,11,229
8046,11,227
1119,11,224
42022,11,229
41405,11,228
42011,11,228
14013,11,233
42504,11,229
12035,11,226
41604,11,231
20013,11,229
9115,11,229
10032,11,231
7024,11,228
8040,11,230
5116,11,231
1116,11,229
13026,11,225
19120,11,232
13008,11,227
8045,11,229
31003,11,227
18107,11,233
42503,11,229
42209,11,228
