bin,mae,n
"(-0.001, 1.0]",2.757377467720041,19610.0
"(1.0, 2.0]",2.665401139566237,17153.0
"(2.0, 3.0]",2.3897027482744524,16117.0
"(3.0, 4.0]",2.3801155411038852,17450.0
"(4.0, 5.0]",2.2786617312190605,14118.0
"(5.0, 6.0]",2.291415947523253,14438.0
"(6.0, 7.0]",2.3390346048786297,11323.0
"(7.0, 8.0]",2.3697863276856546,11478.0
"(8.0, 9.0]",2.4943320674260487,9189.0
"(9.0, 10.0]",2.583353185324434,9638.0
"(10.0, 12.0]",2.675739571725296,16169.0
"(12.0, 13.0]",2.7841788381377777,7069.0
"(13.0, 15.0]",3.06337855719975,13334.0
"(15.0, 17.0]",3.2694887577136513,12061.0
"(17.0, 19.0]",3.429239182389255,10561.0
"(19.0, 22.0]",3.683401843685019,13486.0
"(22.0, 26.0]",3.9801369036985053,13186.0
"(26.0, 32.0]",4.687065569980683,10939.0
"(32.0, 77.0]",6.249149312833535,11748.0
