feature,family
lag_nb_16b,lags
lag_nb_1b,lags
lag_nb_2b,lags
lag_nb_3b,lags
lag_nb_4b,lags
lag_nb_8b,lags
lag_occ_16b,lags
lag_occ_1b,lags
lag_occ_2b,lags
lag_occ_3b,lags
lag_occ_4b,lags
lag_occ_8b,lags
occ_ratio_bin,normalization
capacity_bin,other
hour,other
hour_cos,other
hour_sin,other
is_rush_am,other
is_rush_pm,other
nb_bornes_bin,other
nb_velos_bin,other
temp_C,other
wind_mps,other
roll_nb_4b,rolling
roll_nb_8b,rolling
roll_occ_4b,rolling
roll_occ_8b,rolling
dow,seasonality
is_holiday,seasonality
is_weekend,seasonality
trend_nb_4b,trend
trend_occ_4b,trend
precip_mm,weather
