zone,occ_mean,penury_rate,saturation_rate,cap_sum,n_obs
48.763|2.338,0.0,1.0,1.0,153.0,153
48.901|2.213,0.0,1.0,1.0,3060.0,153
48.783|2.407,0.0,1.0,1.0,7038.0,153
48.841|2.278,0.0,1.0,1.0,9945.0,153
48.877|2.392,0.0,1.0,1.0,4437.0,153
48.85|2.452,0.0,1.0,1.0,3825.0,153
48.862|2.284,0.0,1.0,1.0,4590.0,153
48.886|2.23,0.0,1.0,1.0,3519.0,153
48.872|2.3,0.0,1.0,1.0,3825.0,153
48.932|2.398,0.0,1.0,1.0,4590.0,153
48.885|2.26,0.0,1.0,1.0,2754.0,153
48.894|2.432,0.0,1.0,1.0,153.0,153
48.867|2.339,0.007189542483660131,0.7843137254901961,1.0,4590.0,153
48.877|2.37,0.017902813299232736,0.5882352941176471,1.0,3519.0,153
nan|nan,0.022865557865557867,0.4,1.0,912.0,15
48.821|2.452,0.03846153846153846,0.0,1.0,1456.0,14
48.879|2.325,0.06448992852501624,0.29385964912280704,1.0,6156.0,228
48.851|2.362,0.06715686274509805,0.9,1.0,2040.0,170
48.879|2.412,0.08028216325159555,0.30131004366812225,1.0,8931.0,229
48.864|2.416,0.08704347826086957,0.06521739130434782,1.0,11500.0,230
48.881|2.42,0.08759825327510916,0.039301310043668124,1.0,11450.0,229
48.869|2.409,0.0891812865497076,0.40789473684210525,1.0,3420.0,228
48.794|2.273,0.09799695740365111,0.15517241379310345,1.0,7888.0,232
48.882|2.352,0.0992258972554539,0.02586206896551724,1.0,11368.0,232
48.836|2.48,0.09988312505618988,0.1013215859030837,1.0,11123.0,227
48.839|2.316,0.09990737064972872,0.1091703056768559,1.0,7557.0,229
48.83|2.296,0.1010983194389308,0.06550218340611354,1.0,7557.0,229
48.809|2.318,0.10131004366812227,0.14847161572052403,1.0,4580.0,229
48.858|2.255,0.10353107344632768,0.11440677966101695,1.0,7080.0,236
48.787|2.228,0.10392385392385392,0.3333333333333333,1.0,5148.0,234
48.894|2.398,0.10414114187699094,0.0,1.0,12243.0,231
48.871|2.399,0.10430194805194805,0.19047619047619047,1.0,7392.0,231
48.822|2.299,0.10612735282338806,0.13215859030837004,1.0,7491.0,227
48.888|2.334,0.10627753303964757,0.21585903083700442,1.0,5448.0,227
48.87|2.219,0.10742753623188406,0.05217391304347826,1.0,5520.0,230
48.802|2.316,0.10801144492131616,0.13304721030042918,1.0,5592.0,233
48.883|2.326,0.11065729483282674,0.013392857142857142,1.0,10528.0,224
48.877|2.446,0.11077586206896552,0.05172413793103448,1.0,4640.0,232
48.817|2.324,0.11196021348859778,0.06986899563318777,1.0,8244.0,229
48.875|2.406,0.11206140350877193,0.12280701754385964,1.0,4560.0,228
48.861|2.406,0.11258781089804441,0.14410480349344978,1.0,5267.0,229
48.872|2.392,0.11299559471365637,0.022026431718061675,1.0,9080.0,227
48.823|2.297,0.11387032689181867,0.04424778761061947,1.0,11074.0,226
48.87|2.336,0.11422924901185771,0.09565217391304348,1.0,10120.0,230
48.883|2.324,0.11563876651982379,0.08370044052863436,1.0,6356.0,227
48.853|2.411,0.11587648159700562,0.0611353711790393,1.0,6412.0,229
48.847|2.396,0.11654086413326394,0.0,1.0,15368.0,226
48.796|2.317,0.116811141111269,0.05286343612334802,1.0,7037.0,227
48.897|2.344,0.11760541220893643,0.04405286343612335,1.0,12712.0,227
48.883|2.345,0.1184573002754821,0.017316017316017316,1.0,7623.0,231
48.898|2.346,0.12035398230088495,0.09292035398230089,1.0,5650.0,226
48.88|2.321,0.12190635451505018,0.09565217391304348,1.0,5980.0,230
48.824|2.308,0.12416387959866221,0.05652173913043478,1.0,11960.0,230
48.828|2.418,0.12484848484848485,0.0,1.0,11550.0,231
48.875|2.367,0.125,0.004424778761061947,1.0,13560.0,226
48.869|2.395,0.1252465483234714,0.2094017094017094,1.0,6084.0,234
48.868|2.385,0.12540011297307474,0.04424778761061947,1.0,10622.0,226
48.885|2.344,0.12548732943469784,0.08333333333333333,1.0,8208.0,228
48.875|2.297,0.12577098417806384,0.168141592920354,1.0,7458.0,226
48.881|2.425,0.1263412017167382,0.0944206008583691,1.0,7456.0,233
48.884|2.414,0.127292576419214,0.026200873362445413,1.0,4580.0,229
48.871|2.424,0.12746512746512745,0.18614718614718614,1.0,4158.0,231
48.87|2.397,0.12754385964912282,0.14473684210526316,1.0,5700.0,228
48.883|2.35,0.12789855072463768,0.013043478260869565,1.0,8280.0,230
48.873|2.408,0.1288926127635805,0.14285714285714285,1.0,7161.0,231
48.857|2.478,0.13032679738562092,0.008888888888888889,1.0,7650.0,225
48.88|2.288,0.13041483113069016,0.07488986784140969,1.0,10896.0,227
48.884|2.44,0.13084975369458127,0.10714285714285714,1.0,6496.0,224
48.87|2.285,0.1312280701754386,0.08333333333333333,1.0,5700.0,228
48.795|2.359,0.13160919540229885,0.10344827586206896,1.0,6960.0,232
48.871|2.289,0.13172541743970315,0.05194805194805195,1.0,8085.0,231
48.87|2.389,0.13186462324393358,0.07327586206896551,1.0,6264.0,232
48.882|2.32,0.13192783094098884,0.15570175438596492,1.0,13510.0,456
48.885|2.353,0.13228982580156526,0.030042918454935622,1.0,7922.0,233
48.897|2.401,0.13311499272197963,0.0,1.0,13740.0,229
48.833|2.299,0.13312334217506633,0.06896551724137931,1.0,12064.0,232
48.834|2.329,0.1331384015594542,0.013157894736842105,1.0,10260.0,228
48.847|2.4,0.13340643274853803,0.05701754385964912,1.0,8208.0,228
48.865|2.399,0.13365539452495975,0.1565217391304348,1.0,6210.0,230
48.891|2.349,0.13437305053025578,0.11353711790393013,1.0,8015.0,229
48.814|2.307,0.13444520081688224,0.05752212389380531,1.0,5876.0,226
48.823|2.354,0.13460317460317459,0.05333333333333334,1.0,7875.0,225
48.857|2.282,0.13478260869565217,0.017391304347826087,1.0,8510.0,230
48.843|2.338,0.13529320024953212,0.004366812227074236,1.0,12824.0,229
48.877|2.408,0.13584538375973304,0.0603448275862069,1.0,7192.0,232
48.899|2.33,0.13684752747252746,0.12053571428571429,1.0,5824.0,224
48.873|2.401,0.13696969696969696,0.14285714285714285,1.0,5775.0,231
48.865|2.443,0.1370843989769821,0.004347826086956522,1.0,7820.0,230
48.826|2.189,0.1377514367816092,0.06896551724137931,1.0,5568.0,232
48.83|2.323,0.1378167641325536,0.03070175438596491,1.0,10260.0,228
48.858|2.415,0.13822297477943143,0.05240174672489083,1.0,11221.0,229
48.856|2.426,0.13828238719068414,0.07860262008733625,1.0,10305.0,229
48.844|2.188,0.1393013100436681,0.043668122270742356,1.0,4580.0,229
48.833|2.244,0.14051777916406738,0.043668122270742356,1.0,12824.0,229
48.884|2.313,0.14221014492753625,0.004347826086956522,1.0,11040.0,230
48.842|2.35,0.14285714285714282,0.0,1.0,14301.0,227
48.858|2.192,0.14287812041116008,0.0,1.0,6810.0,227
48.797|2.291,0.14315549648756407,0.017467248908296942,1.0,5267.0,229
48.874|2.224,0.14375000000000002,0.0,1.0,4640.0,232
48.799|2.283,0.14386266094420602,0.15450643776824036,1.0,5825.0,233
48.819|2.292,0.14439284485724113,0.021929824561403508,1.0,11628.0,228
48.88|2.326,0.14459704586680486,0.1145374449339207,1.0,3859.0,227
48.878|2.441,0.14588948787061995,0.25471698113207547,1.0,2968.0,106
48.892|2.385,0.1460746460746461,0.018018018018018018,1.0,9324.0,222
48.828|2.292,0.14610106051154084,0.07860262008733625,1.0,8015.0,229
48.824|2.319,0.14613935969868175,0.022222222222222223,1.0,13275.0,225
48.864|2.398,0.14632683658170914,0.017391304347826087,1.0,6670.0,230
48.868|2.447,0.1463745199909645,0.04291845493562232,1.0,8854.0,233
48.869|2.266,0.1466374269005848,0.008771929824561403,1.0,6840.0,228
48.891|2.387,0.14664031620553358,0.0,1.0,7590.0,230
48.883|2.331,0.14671753298362739,0.06437768240343347,1.0,6291.0,233
48.878|2.396,0.14757709251101322,0.07929515418502203,1.0,6356.0,227
48.878|2.327,0.14811912225705332,0.03879310344827586,1.0,10208.0,232
48.878|2.345,0.1485826001955034,0.004329004329004329,1.0,7161.0,231
48.826|2.3,0.14862914862914864,0.0,1.0,6930.0,231
48.891|2.345,0.14959131116336355,0.034934497816593885,1.0,8931.0,229
48.881|2.35,0.15065502183406113,0.2052401746724891,1.0,6870.0,229
48.835|2.313,0.15076877145842665,0.05194805194805195,1.0,6699.0,231
48.816|2.369,0.1508968609865471,0.08520179372197309,1.0,8920.0,223
48.852|2.393,0.15115638766519823,0.004405286343612335,1.0,10896.0,227
48.779|2.289,0.15125278761642397,0.0,1.0,7623.0,231
48.787|2.352,0.15183553597650515,0.013215859030837005,1.0,6810.0,227
48.831|2.312,0.1520289855072464,0.05217391304347826,1.0,6900.0,230
48.879|2.379,0.1524229074889868,0.22466960352422907,1.0,4540.0,227
48.868|2.4,0.15340188758980136,0.0611353711790393,1.0,7099.0,229
48.864|2.392,0.1537117903930131,0.1222707423580786,1.0,4580.0,229
48.863|2.403,0.15374585111427216,0.0045045045045045045,1.0,8436.0,222
48.876|2.4,0.15450689289501593,0.14347826086956522,1.0,9430.0,230
48.845|2.342,0.1546059471823664,0.0611353711790393,1.0,9618.0,229
48.846|2.472,0.1549528902470079,0.0,1.0,7854.0,231
48.812|2.304,0.1552203255260024,0.07860262008733625,1.0,5038.0,229
48.834|2.413,0.15531295487627364,0.0,1.0,13740.0,229
48.858|2.274,0.15625593316878678,0.06550218340611354,1.0,5267.0,229
48.89|2.338,0.1566773934030571,0.035398230088495575,1.0,9944.0,226
48.869|2.392,0.1569872958257713,0.19827586206896552,1.0,4408.0,232
48.804|2.285,0.15708101422387136,0.06926406926406926,1.0,6468.0,231
48.816|2.267,0.157088122605364,0.008547008547008548,1.0,6786.0,234
48.791|2.287,0.15749936338171633,0.021645021645021644,1.0,7854.0,231
48.866|2.283,0.15791454921889705,0.15584415584415584,1.0,5313.0,231
48.875|2.36,0.15839062897886427,0.19480519480519481,1.0,3927.0,231
48.781|2.355,0.15851528384279476,0.16593886462882096,1.0,4580.0,229
48.817|2.319,0.15854887470607995,0.03056768558951965,1.0,5954.0,229
48.865|2.408,0.15875569857870744,0.15486725663716813,1.0,7458.0,226
48.88|2.401,0.15886134067952248,0.07792207792207792,1.0,7623.0,231
48.889|2.311,0.15931919642857142,0.05357142857142857,1.0,7168.0,224
48.8|2.357,0.15982456140350876,0.07017543859649122,1.0,5700.0,228
48.885|2.436,0.15991851285968936,0.1774891774891775,1.0,3927.0,231
48.815|2.321,0.160153474491971,0.11013215859030837,1.0,7037.0,227
48.809|2.188,0.1605726872246696,0.0,1.0,4540.0,227
48.884|2.306,0.16074168797953964,0.030434782608695653,1.0,7820.0,230
48.837|2.313,0.16155555555555556,0.09333333333333334,1.0,4500.0,225
48.826|2.321,0.162012987012987,0.07792207792207792,1.0,9240.0,231
48.81|2.3,0.1626394953905871,0.026200873362445413,1.0,10305.0,229
48.865|2.205,0.1628120411160059,0.11894273127753303,1.0,5448.0,227
48.859|2.427,0.1629951690821256,0.0,1.0,10350.0,230
48.883|2.433,0.1632034632034632,0.08225108225108226,1.0,6930.0,231
48.839|2.461,0.163265306122449,0.0,1.0,8085.0,231
48.893|2.352,0.16419294990723562,0.08658008658008658,1.0,6468.0,231
48.819|2.23,0.16497797356828195,0.24669603524229075,1.0,4540.0,227
48.788|2.291,0.16521739130434782,0.0,1.0,7130.0,230
48.821|2.303,0.1652386780905753,0.039473684210526314,1.0,9804.0,228
48.876|2.468,0.16530312565554858,0.1145374449339207,1.0,4767.0,227
48.879|2.303,0.16532356532356532,0.0,1.0,8190.0,234
48.846|2.341,0.16564039408866996,0.04741379310344827,1.0,8120.0,232
48.847|2.327,0.16586860754644703,0.06167400881057269,1.0,10442.0,227
48.807|2.354,0.16607929515418504,0.048458149779735685,1.0,6810.0,227
48.875|2.296,0.16626686656671663,0.06521739130434782,1.0,6670.0,230
48.861|2.409,0.1673254281949934,0.08225108225108226,1.0,5313.0,231
48.865|2.394,0.16734279918864095,0.09913793103448276,1.0,7888.0,232
48.898|2.334,0.16766566766566768,0.12121212121212122,1.0,6006.0,231
48.822|2.328,0.16809116809116806,0.09829059829059829,1.0,4914.0,234
48.825|2.311,0.16822624246205034,0.1572052401746725,1.0,4809.0,229
48.876|2.501,0.16833030852994552,0.008620689655172414,1.0,4408.0,232
48.867|2.396,0.16907894736842105,0.06140350877192982,1.0,4560.0,228
48.867|2.406,0.16907894736842108,0.07894736842105263,1.0,4560.0,228
48.825|2.41,0.16924444444444445,0.0,1.0,11250.0,225
48.881|2.376,0.16972624798711755,0.02608695652173913,1.0,6210.0,230
48.829|2.329,0.16977777777777778,0.04,1.0,6750.0,225
48.866|2.286,0.1703056768558952,0.13537117903930132,1.0,3893.0,229
48.88|2.375,0.1703056768558952,0.11353711790393013,1.0,5496.0,229
48.857|2.445,0.17037724180581323,0.0,1.0,9702.0,231
48.862|2.262,0.1704968944099379,0.0,1.0,9660.0,230
48.828|2.306,0.17140151515151514,0.0,1.0,7392.0,231
48.888|2.31,0.17173793859649122,0.008771929824561403,1.0,7296.0,228
48.891|2.351,0.17205789804908747,0.0,1.0,7945.0,227
48.878|2.381,0.1723684210526316,0.017543859649122806,1.0,4560.0,228
48.854|2.396,0.1727213602155533,0.013100436681222707,1.0,10763.0,229
48.889|2.393,0.17283406754772393,0.0,1.0,13620.0,227
48.879|2.362,0.17319915254237286,0.0,1.0,13216.0,224
48.879|2.416,0.17336244541484716,0.039301310043668124,1.0,4580.0,229
48.82|2.323,0.1735064935064935,0.025974025974025976,1.0,5775.0,231
