station_id,type,start,end,steps
10003,saturation,2025-09-07 23:00:00,2025-09-20 17:30:00,1227
10004,saturation,2025-09-07 23:00:00,2025-09-20 17:30:00,1227
10005,saturation,2025-09-07 23:00:00,2025-09-20 17:30:00,1227
10006,saturation,2025-09-07 23:00:00,2025-09-20 17:30:00,1227
10008,saturation,2025-09-07 23:00:00,2025-09-20 17:30:00,1227
10009,saturation,2025-09-07 23:00:00,2025-09-20 17:30:00,1227
1001,saturation,2025-09-07 23:00:00,2025-09-20 17:30:00,1227
10010,saturation,2025-09-07 23:00:00,2025-09-20 17:15:00,1226
10011,saturation,2025-09-07 23:00:00,2025-09-20 17:30:00,1227
10012,saturation,2025-09-07 23:00:00,2025-09-20 17:30:00,1227
10013,saturation,2025-09-07 23:00:00,2025-09-20 17:30:00,1227
10014,saturation,2025-09-07 23:00:00,2025-09-20 17:30:00,1227
10015,saturation,2025-09-07 23:00:00,2025-09-20 17:30:00,1227
10016,penury,2025-09-07 23:00:00,2025-09-08 02:15:00,14
10016,saturation,2025-09-07 23:00:00,2025-09-20 17:30:00,1227
10016,penury,2025-09-08 04:30:00,2025-09-08 07:45:00,14
10016,penury,2025-09-11 06:45:00,2025-09-11 07:30:00,4
10016,penury,2025-09-11 19:30:00,2025-09-11 21:15:00,8
10016,penury,2025-09-13 17:45:00,2025-09-20 10:15:00,643
10016,penury,2025-09-20 11:45:00,2025-09-20 13:15:00,7
10017,saturation,2025-09-07 23:00:00,2025-09-20 17:30:00,1227
10018,saturation,2025-09-07 23:00:00,2025-09-20 17:30:00,1227
10018,penury,2025-09-08 13:30:00,2025-09-08 15:30:00,9
10019,saturation,2025-09-07 23:00:00,2025-09-20 17:15:00,1226
1002,saturation,2025-09-07 23:00:00,2025-09-20 17:30:00,1227
10020,saturation,2025-09-07 23:00:00,2025-09-20 17:30:00,1227
10020,penury,2025-09-08 09:45:00,2025-09-08 10:30:00,4
10021,saturation,2025-09-07 23:00:00,2025-09-20 17:15:00,1226
10021,penury,2025-09-10 15:15:00,2025-09-10 16:15:00,5
10021,penury,2025-09-11 08:45:00,2025-09-11 09:30:00,4
10023,penury,2025-09-07 23:00:00,2025-09-08 00:45:00,8
10023,saturation,2025-09-07 23:00:00,2025-09-20 17:30:00,1227
10025,saturation,2025-09-07 23:00:00,2025-09-20 17:30:00,1227
10026,saturation,2025-09-07 23:00:00,2025-09-20 17:30:00,1227
