lag,acf
0,1.0
1,0.5453102951492212
2,0.4300309539905739
3,0.36297545413208887
4,0.16483205908733117
5,0.12220211930438055
6,0.09171710216433752
7,-0.005125392820210581
8,0.03867389948274431
9,0.028662866547263077
10,0.022954031399482655
11,0.020099496099744082
12,0.00528267122726005
13,-0.0058443522436093815
14,-0.036287703488603475
15,-0.07788120355974067
16,-0.0749240957331883
17,-0.06262640238147466
18,-0.02206891838532155
19,-0.041433396403386086
20,-0.10736489810899719
21,-0.08422538356290235
22,-0.12518217485366734
23,-0.07663725499417057
24,-0.08883236560884768
25,-0.06973478762817992
26,-0.09264859235488762
27,-0.07505549770539227
28,-0.06787798577417703
29,-0.054335329428524155
30,-0.08298025278522896
31,-0.09325258609763355
32,-0.08056121668535642
33,-0.06779331136745614
34,-0.0678446431004378
35,-0.032781797726066195
36,0.00788469281330407
37,-0.009131437262478637
38,-0.05215089817443639
39,-0.05648463667294477
40,-0.02398510107347819
41,0.008509550109819786
42,-0.009768758207143461
43,0.018225953094531955
44,-0.0006319310836489809
45,-0.009808210519307511
46,0.039985639320105286
47,-0.001027223491644581
48,0.0009418120181996849
