station_id,max_run,n
12001,28,296
5026,24,294
13010,22,284
8015,20,285
12151,18,290
15125,18,292
13036,17,285
5007,16,294
42205,16,293
13041,16,288
21108,16,288
11029,16,292
11001,16,293
8050,16,302
6017,15,297
16036,15,298
8033,15,294
26005,15,286
9024,14,290
8203,14,291
15030,14,293
42004,14,285
12119,14,290
15003,14,294
8025,14,294
17004,14,292
8003,14,296
42019,14,297
12203,13,290
13125,13,289
12202,13,296
16041,13,287
11014,13,288
16034,13,291
11020,13,292
5121,13,293
4019,13,294
15012,13,285
12125,13,292
8117,13,289
8103,13,297
10013,13,290
12156,13,292
8036,13,290
7009,13,288
8040,12,296
20001,12,289
10113,12,292
10107,12,295
8549,12,298
10004,12,291
26001,12,291
12204,12,291
13055,12,297
13052,12,290
12102,12,284
3001,12,290
32010,12,295
19032,12,291
19018,12,284
11101,12,283
1102,12,287
2008,12,290
16124,12,295
7003,12,297
18011,12,289
8001,12,292
10202,12,294
11024,12,287
33001,12,287
17201,12,291
6026,12,292
8052,12,286
14004,12,290
42003,12,291
1119,12,286
21011,12,294
15021,12,289
5032,12,291
22302,12,299
8044,11,296
8035,11,287
15133,11,289
16032,11,293
8017,11,284
16029,11,285
16118,11,292
7015,11,292
17038,11,285
8046,11,291
2021,11,288
15005,11,281
12039,11,295
2009,11,289
51001,11,297
22006,11,287
21952,11,288
3006,11,284
12020,11,291
42011,11,288
21309,11,291
21320,11,294
15009,11,284
13008,11,293
12201,11,282
13117,11,291
13204,11,290
22703,11,299
42503,11,291
9038,11,296
24001,11,289
1021,10,280
35004,10,292
11026,10,289
6015,10,290
13035,10,288
23001,10,285
42030,10,290
9032,10,295
9025,10,281
1003,10,285
9031,10,292
15020,10,286
15055,10,287
15028,10,292
2003,10,289
5116,10,293
41212,10,295
11107,10,287
11113,10,287
32001,10,292
43005,10,288
11004,10,292
32012,10,289
17006,10,288
16201,10,295
6104,10,294
13054,10,285
14002,10,289
21327,10,293
4015,10,290
14003,10,283
11036,10,288
11042,10,293
19120,10,291
12011,10,284
21109,10,291
15014,10,295
6005,10,290
15127,10,290
15104,10,294
12031,10,295
42010,10,292
41604,10,293
15052,10,293
20033,10,296
8053,10,299
7021,10,290
92005,10,286
12035,10,293
15023,10,291
9115,10,294
10151,10,294
7102,10,291
7023,10,289
35003,9,290
18049,9,287
17017,9,287
33012,9,297
9113,9,292
11025,9,291
4001,9,296
18109,9,296
13047,9,290
42505,9,291
16027,9,289
32004,9,288
32011,9,292
23002,9,283
8201,9,294
42210,9,290
12161,9,287
12155,9,292
10018,9,290
26011,9,296
1020,9,287
14020,9,289
14016,9,289
11039,9,287
11033,9,296
4018,9,290
47005,9,289
6009,9,292
6013,9,294
13203,9,289
16011,9,286
16020,9,295
19025,9,291
8008,9,289
12106,9,292
44005,9,287
13109,9,288
42022,9,291
2001,9,287
12043,9,291
13005,9,286
13051,9,290
13103,9,286
19110,9,291
23304,9,298
8018,9,293
19003,9,294
17001,9,288
15131,9,293
21107,9,295
5123,9,296
12123,9,291
21404,9,291
20010,9,290
20029,9,289
8049,9,293
21110,9,291
14036,9,292
21030,9,295
31018,9,285
5107,9,297
12033,9,286
21508,9,295
21301,9,294
8028,9,288
8031,9,294
2020,9,300
15058,9,280
5001,9,294
5031,9,293
15022,9,281
31701,9,285
5002,9,296
5005,9,298
5004,9,294
1120,9,287
10006,9,286
10012,9,295
17040,9,295
18019,9,294
7006,9,289
34013,9,291
10105,9,289
1006,9,288
7025,9,284
17108,8,284
7024,8,293
1013,8,290
1008,8,295
10042,8,290
9039,8,291
9104,8,289
7013,8,289
7010,8,295
17045,8,293
17033,8,292
17030,8,292
18003,8,284
7005,8,293
18022,8,284
18015,8,287
33019,8,289
11114,8,285
11112,8,289
12040,8,287
12034,8,296
3101,8,290
31009,8,292
41402,8,294
5028,8,291
5027,8,280
2022,8,295
15063,8,292
15056,8,288
5020,8,292
5003,8,293
15006,8,289
20030,8,297
20022,8,294
20012,8,290
20047,8,286
20039,8,293
5034,8,292
15040,8,286
15033,8,289
21024,8,290
21022,8,287
14101,8,295
15019,8,296
15008,8,296
21112,8,294
21111,8,290
6006,8,289
5202,8,285
16025,8,296
16023,8,290
15113,8,290
15112,8,293
15106,8,287
15070,8,291
15069,8,292
41404,8,296
12122,8,288
3007,8,295
21302,8,289
21329,8,290
14005,8,292
20007,8,293
11034,8,291
11027,8,285
12008,8,284
12005,8,295
4101,8,290
4009,8,287
14001,8,290
47004,8,290
47001,8,296
22013,8,291
22002,8,293
13515,8,295
21704,8,288
21703,8,291
19010,8,284
19005,8,293
16013,8,292
16012,8,294
16044,8,289
16042,8,293
19113,8,295
19108,8,282
19044,8,296
12101,8,290
13002,8,291
25008,8,298
42018,8,295
13049,8,290
13045,8,290
22017,8,293
43009,8,291
11019,8,287
11009,8,288
11007,8,292
11102,8,292
11047,8,291
32016,8,295
8020,8,290
8016,8,295
8009,8,299
17105,8,287
18046,8,284
18032,8,286
18029,8,288
18201,8,295
7202,8,298
16136,8,289
16123,8,293
7002,8,295
6025,8,289
43004,8,283
43003,8,294
13016,8,283
13015,8,289
13013,8,297
13009,8,284
22507,8,291
22306,8,292
23011,8,289
23005,8,298
42504,8,293
42028,8,289
25001,8,290
26006,8,281
9027,8,282
10032,8,295
10014,8,283
1017,8,290
10165,8,291
33003,8,294
17023,8,286
17011,8,298
17010,8,288
43007,7,285
9111,7,287
34010,7,293
17106,7,290
17110,7,285
10019,7,295
9106,7,298
9117,7,284
22304,7,292
44002,7,297
44101,7,289
21706,7,294
11044,7,280
17021,7,295
17024,7,292
16108,7,293
18010,7,289
13104,7,296
13106,7,286
13114,7,288
13120,7,288
13044,7,287
22001,7,287
23006,7,285
23007,7,287
23008,7,286
16116,7,286
18035,7,289
17007,7,293
17008,7,296
33009,7,294
8105,7,289
14010,7,291
14018,7,290
21511,7,294
21702,7,290
13026,7,288
4007,7,290
11030,7,288
16031,7,289
6022,7,290
6027,7,282
6032,7,294
6201,7,290
16110,7,298
42501,7,289
2108,7,289
21104,7,295
2111,7,290
21114,7,290
21120,7,290
15017,7,286
14130,7,287
41401,7,296
31007,7,291
16019,7,295
19007,7,293
19008,7,294
19021,7,290
8007,7,286
11011,7,288
11023,7,289
21008,7,296
21017,7,289
21021,7,291
21026,7,289
21028,7,292
21029,7,288
12109,7,293
26008,7,294
20003,7,289
19041,7,295
19043,7,289
19045,7,296
16103,7,294
11031,7,294
11040,7,295
41202,7,286
41208,7,284
42024,7,286
13023,7,287
15042,7,294
5022,7,293
12153,7,289
12154,7,291
16024,7,294
16026,7,291
15122,7,286
15128,7,294
5119,7,294
19125,7,294
12026,7,293
41601,7,292
13006,7,292
15062,7,287
15025,7,293
15026,7,286
21004,7,294
2010,7,289
8037,7,278
8045,7,292
20108,7,298
20035,7,297
20042,7,286
20043,7,295
11115,7,291
1116,7,298
31010,7,292
3005,7,286
3009,7,289
20014,7,287
43402,7,295
22014,7,295
