bin,mae,n
"(-0.001, 1.0]",2.6878239801592385,22913.0
"(1.0, 2.0]",2.4833516064735766,21553.0
"(2.0, 3.0]",2.1732454515850104,20511.0
"(3.0, 4.0]",2.101551951743429,22433.0
"(4.0, 5.0]",2.0516554295054568,17931.0
"(5.0, 6.0]",2.1388549679403375,18628.0
"(6.0, 7.0]",2.2115451414840157,14376.0
"(7.0, 8.0]",2.3311649072184997,14955.0
"(8.0, 9.0]",2.4191374912177244,11877.0
"(9.0, 10.0]",2.565713539753983,12648.0
"(10.0, 12.0]",2.6950890801990264,21159.0
"(12.0, 13.0]",2.77953483419375,9254.0
"(13.0, 15.0]",2.977095588480034,17942.0
"(15.0, 17.0]",3.219843730319959,15848.0
"(17.0, 19.0]",3.349306423359902,13624.0
"(19.0, 22.0]",3.5134157690778474,17354.0
"(22.0, 26.0]",3.799467225393945,16258.0
"(26.0, 32.0]",4.420852599594091,13985.0
"(32.0, 77.0]",5.361123387613319,15063.0
