lag,acf
0,1.0
1,0.5988153451609008
2,0.4795057000458682
3,0.33389832475917985
4,0.15085318816491555
5,0.05502424519700424
6,0.029962316071961915
7,-0.03263928531722159
8,-0.019533455706202737
9,-0.027334910324095043
10,-0.022041791432456565
11,-0.03347317163716553
12,-0.022436964038823975
13,-0.0453790255770772
14,-0.06866026381094538
15,-0.0943089175986509
16,-0.07552400944706118
17,-0.09347863507037961
18,-0.0692427385624204
19,-0.08313792945660246
20,-0.08766098340590123
21,-0.04053561604191336
22,-0.07208395250184638
23,-0.1018778690787175
24,-0.08987373568205026
25,-0.050954370028908846
26,-0.07043989694079111
27,-0.049984300732450415
28,-0.04885088113509837
29,-0.058257169065378034
30,-0.09812413250057586
31,-0.10727075723105155
32,-0.10266199743722518
33,-0.07100420987332239
34,-0.0813291535925873
35,-0.06976756152946442
36,-0.034491130026124486
37,-0.05616014543948526
38,-0.062342601354455456
39,-0.045906425948234596
40,-0.052075662530472834
41,-0.015732644723730014
42,-0.007464917722040425
43,0.04737587557330611
44,0.04054503014992294
45,0.08586355344676447
46,0.08763234747547217
47,0.0848359701898048
48,0.07936714379204657
