hour,alpha,beta,n
0,,,24051.0
1,-0.5313107254399806,1.0390729379437202,26268.0
2,-0.16378045703829214,1.0291213793128458,4015.0
3,,,3230.0
4,-0.3757720656640367,1.0196693717691068,7313.0
5,,,14602.0
6,0.20185296209364717,0.9916834295292806,15985.0
7,0.662923809772151,0.951637597134592,17168.0
8,0.16545891057349824,1.031278741208459,14418.0
9,,,20499.0
10,-0.1839067117158386,1.0283307090965526,16093.0
11,-0.17624877497615754,1.0198159923456007,19735.0
12,-0.017890281366111916,1.0094089098705088,19149.0
13,-0.11728573254602893,1.00913282086979,22231.0
14,0.1263004470256651,0.9928785530324756,10409.0
15,-0.06972403542462527,0.9990101658530317,15534.0
16,,,14090.0
17,,,27595.0
18,,,20007.0
19,,,23120.0
20,-0.13388631540865906,1.0089285070228944,20658.0
21,-0.18202216941941332,1.0059250244004359,23765.0
22,-0.2616144999270993,1.0123816007037183,26291.0
23,,,23020.0
