station_id,max_run,n
8015,21,383
12157,21,390
7003,20,401
5031,19,391
8001,18,394
7009,17,381
16036,17,395
11024,17,385
11036,17,380
13010,17,380
7005,17,384
44101,16,391
6005,16,388
16012,16,387
16027,16,385
7023,16,384
5007,16,393
1102,16,382
5123,16,392
8018,16,391
11029,16,383
15012,15,380
26005,15,388
16201,15,397
42004,15,380
8050,15,406
5026,15,393
9024,14,388
8054,14,389
12204,14,387
12151,14,386
5121,14,390
20047,14,379
9106,14,397
13041,14,385
42019,14,396
11001,14,391
17021,14,395
8025,14,393
8008,14,380
5003,14,396
15003,14,388
11113,13,385
7010,13,385
8033,13,390
16011,13,388
16034,13,381
4007,13,384
11039,13,379
10202,13,388
11020,13,383
11042,13,392
8031,13,394
13116,13,379
8203,13,388
43005,13,387
8103,13,396
14036,13,387
12156,13,386
22302,13,396
12203,13,385
5116,13,392
6026,13,389
5032,13,391
15125,12,390
9113,12,388
21111,12,381
16025,12,391
10004,12,387
42011,12,384
19018,12,379
14004,12,381
1119,12,376
19032,12,386
11101,12,380
33001,12,384
10107,12,392
11007,12,386
1021,12,376
26001,12,386
32012,12,381
3001,12,383
11019,12,380
21011,12,390
8201,12,393
12125,12,391
12154,12,385
2003,12,380
8117,12,388
21309,12,389
13204,12,384
8549,12,394
8102,12,387
23004,12,386
2008,12,388
20001,12,384
17203,12,385
9025,11,380
16020,11,389
4019,11,393
8052,11,383
11016,11,381
16136,11,386
17047,11,395
3005,11,380
15058,11,378
15055,11,384
11027,11,380
32010,11,392
17038,11,383
15023,11,384
12033,11,383
12039,11,387
19120,11,389
5107,11,395
18011,11,387
5001,11,390
19002,11,385
18032,11,380
8003,11,394
8017,11,379
15062,11,382
12020,11,383
16118,11,395
7015,11,390
7024,11,393
12122,11,384
6032,11,392
6104,11,393
6015,11,387
21024,11,386
13117,11,386
2021,11,381
13036,11,381
21313,11,387
15133,11,386
8035,11,386
8045,11,385
8046,11,384
9023,11,391
15127,11,385
16029,11,383
42503,11,389
10113,10,388
10151,10,392
42003,10,386
41604,10,393
41404,10,389
41212,10,396
42010,10,389
21004,10,394
21029,10,383
14002,10,390
1003,10,378
8040,10,395
6017,10,396
21006,10,387
13055,10,395
12043,10,386
26008,10,393
7102,10,388
22013,10,385
13008,10,390
12201,10,374
21114,10,387
6014,10,382
6013,10,392
21109,10,381
2108,10,382
13035,10,384
13016,10,379
11026,10,382
35001,10,384
34013,10,393
4015,10,380
11004,10,388
4018,10,386
44002,10,393
15107,10,393
15072,10,388
9031,10,386
9032,10,396
9115,10,392
10018,10,385
12026,10,393
12035,10,387
12031,10,396
14005,10,387
18049,10,386
31009,10,385
5028,10,387
5005,10,396
5020,10,389
12011,10,380
11114,10,384
17043,10,393
17027,10,377
15112,10,393
15025,10,394
17110,10,377
15022,10,373
15028,10,390
15014,10,390
2020,9,400
13051,9,386
13052,9,387
13101,9,388
42030,9,385
9111,9,383
14001,9,387
13046,9,387
41405,9,382
42022,9,387
43007,9,381
42205,9,387
8036,9,382
21511,9,392
21218,9,376
21301,9,390
14020,9,388
20029,9,381
6009,9,389
23002,9,377
12123,9,387
12153,9,380
21307,9,395
21302,9,385
21508,9,395
2010,9,386
21108,9,385
21022,9,383
6025,9,383
21107,9,388
21104,9,394
13015,9,384
15042,9,393
