lag,acf
0,1.0
1,0.5197633990370268
2,0.3083942057144717
3,0.12617659024718042
4,0.051280049596716684
5,-0.017635608461311097
6,-0.05961117110535972
7,-0.09780590222739967
8,-0.03885553531910575
9,-0.012324364699077016
10,0.03294161552693543
11,0.04183568024263929
12,-0.00019292538319221837
13,-0.06241201446435533
14,-0.07952977822807572
15,-0.14139901123653947
16,-0.2700509872521674
17,-0.3427632527957506
18,-0.2769626473401708
19,-0.23410431389890285
20,-0.19758654491452415
21,-0.1340753214662517
22,-0.003836292480560765
23,0.045007817212187565
24,0.09735620713727274
25,0.08396783938136046
26,0.0533515740514606
27,0.05930771476881957
28,0.13066698976662683
29,0.11753986053211686
30,0.08679448105952232
31,0.09630533499556322
32,0.08534601234861042
33,0.12924076829860365
34,0.1513159172385048
35,0.07553796346296303
36,0.04835615500678683
37,0.0020386277764987003
38,-0.015656145053268494
39,0.060122710439963416
40,-0.03048675072712097
41,-0.01381817739114121
42,-0.019501463553728327
43,-0.014609068998857286
44,-0.07865218090029988
45,-0.11125649971417706
46,-0.1565640463499032
47,-0.13023997434516354
48,-0.09102912966667764
