segment,value,feature,psi
cluster,0.0,bikes,0.012342950768850877
cluster,0.0,docks_avail,
cluster,0.0,occ_ratio,0.014860612071989313
cluster,0.0,dow,11.438783306116537
cluster,0.0,hour,1.853076268570291
cluster,1.0,bikes,0.024695000146156738
cluster,1.0,docks_avail,
cluster,1.0,occ_ratio,0.02523577319598139
cluster,1.0,dow,11.42665596433721
cluster,1.0,hour,1.8548147182852994
cluster,2.0,bikes,0.09798288948920997
cluster,2.0,docks_avail,
cluster,2.0,occ_ratio,0.11944089336969133
cluster,2.0,dow,11.45420100415893
cluster,2.0,hour,1.8561755160862445
cluster,3.0,bikes,0.04647062814503445
cluster,3.0,docks_avail,
cluster,3.0,occ_ratio,0.06777392761550675
cluster,3.0,dow,11.431708209193463
cluster,3.0,hour,1.854643441422179
cluster,4.0,bikes,0.008521382526078949
cluster,4.0,docks_avail,
cluster,4.0,occ_ratio,0.008373726930326612
cluster,4.0,dow,11.51161133317056
cluster,4.0,hour,1.8457379446660709
cluster,5.0,bikes,0.04204763200001697
cluster,5.0,docks_avail,
cluster,5.0,occ_ratio,0.08151244411048066
cluster,5.0,dow,11.448716534534224
cluster,5.0,hour,1.8492936887424407
