segment,value,feature,psi
zone,"48.76,2.41",bikes,0.6374585562443412
zone,"48.76,2.41",docks_avail,
zone,"48.76,2.41",occ_ratio,0.6374585562443412
zone,"48.77,2.31",bikes,0.7763191412097104
zone,"48.77,2.31",docks_avail,
zone,"48.77,2.31",occ_ratio,0.7763191412097104
zone,"48.77,2.37",bikes,8.206301273625222
zone,"48.77,2.37",docks_avail,
zone,"48.77,2.37",occ_ratio,8.206301273625222
zone,"48.77,2.41",bikes,0.1194459368145137
zone,"48.77,2.41",docks_avail,
zone,"48.77,2.41",occ_ratio,0.1194459368145137
zone,"48.77,2.44",bikes,2.1724258153376446
zone,"48.77,2.44",docks_avail,
zone,"48.77,2.44",occ_ratio,2.1724258153376446
zone,"48.77,2.46",bikes,0.9705177196822371
zone,"48.77,2.46",docks_avail,
zone,"48.77,2.46",occ_ratio,0.9705177196822371
zone,"48.77,2.47",bikes,0.6735845161392936
zone,"48.77,2.47",docks_avail,
zone,"48.77,2.47",occ_ratio,5.640752342364765
zone,"48.78,2.24",bikes,3.5827543823757635
zone,"48.78,2.24",docks_avail,
zone,"48.78,2.24",occ_ratio,3.5827543823757635
zone,"48.78,2.28",bikes,1.2786878180261723
zone,"48.78,2.28",docks_avail,
zone,"48.78,2.28",occ_ratio,1.2786878180261723
zone,"48.78,2.29",bikes,0.7699885906335191
zone,"48.78,2.29",docks_avail,
zone,"48.78,2.29",occ_ratio,0.7699885906335191
zone,"48.78,2.31",bikes,3.4979052052959787
zone,"48.78,2.31",docks_avail,
zone,"48.78,2.31",occ_ratio,3.4979052052959787
zone,"48.78,2.32",bikes,2.232942336395547
zone,"48.78,2.32",docks_avail,
zone,"48.78,2.32",occ_ratio,2.232942336395547
zone,"48.78,2.35",bikes,0.6188336531294217
zone,"48.78,2.35",docks_avail,
zone,"48.78,2.35",occ_ratio,0.6188336531294217
zone,"48.78,2.36",bikes,1.048916065451602
zone,"48.78,2.36",docks_avail,
zone,"48.78,2.36",occ_ratio,1.0548046830798614
zone,"48.78,2.37",bikes,1.5706994072899043
zone,"48.78,2.37",docks_avail,
zone,"48.78,2.37",occ_ratio,1.623501350118679
zone,"48.78,2.38",bikes,0.34574910272242904
zone,"48.78,2.38",docks_avail,
