station_id,mae_model,mae_baseline,rmse_model,coverage_pred_pct,n,lift_vs_baseline
10003,,2.9210526315789473,,0.0,308.0,
10004,5.397300760882509,6.242622950819672,7.300135602313376,99.35275080906149,309.0,0.13541138021577445
10005,,2.99672131147541,,0.0,309.0,
10006,4.0997307846892665,4.526845637583893,5.359816438494326,99.66887417218543,302.0,0.09435153903824958
10008,2.0866005504223173,2.487012987012987,2.7281208412785674,99.35897435897436,312.0,0.16100134526100032
10009,2.5020083508499185,2.854785478547855,3.2996766375527113,99.6742671009772,307.0,0.12357395340170486
1001,2.932269266350729,3.262135922330097,3.8973732868551036,99.68051118210862,313.0,0.10111983799367535
10010,3.945581234252786,4.182410423452769,5.147534788385873,99.35691318327974,311.0,0.05662504757351618
10011,2.7416532134488656,2.98019801980198,3.7092343187163097,99.6742671009772,307.0,0.08004327389257333
10012,2.5479527680450222,2.8478964401294498,3.478597570258271,99.36102236421725,313.0,0.10532113031146376
10013,5.218715909364721,6.458471760797342,7.5992124911741366,99.34426229508196,305.0,0.19195808193478342
10014,4.816012917149037,4.938983050847457,6.648125383516875,99.33110367892976,299.0,0.024897865093365737
10015,3.086220803665023,3.0,3.9631967880589873,99.33333333333333,300.0,-0.02874026788834098
10016,,1.7712418300653594,,0.0,310.0,
10017,2.085306778088776,2.1666666666666665,2.7203724066672206,99.67741935483872,310.0,0.037550717805180156
10018,2.863789936570284,2.762376237623762,3.9908131578776107,99.3485342019544,307.0,-0.03671248599856172
10019,3.9220119688022455,4.3441558441558445,5.510169569407603,99.35897435897436,312.0,0.09717512227870591
1002,,3.9731543624161074,,0.0,302.0,
10020,1.8683437317706248,2.198019801980198,2.2948947534958486,99.6742671009772,307.0,0.149987761671923
10021,1.847763858549888,1.8284789644012944,2.3137428139140024,99.68051118210862,313.0,-0.010546959808699791
10023,,1.977198697068404,,0.0,311.0,
10025,,2.263843648208469,,0.0,311.0,
10026,2.8919210271295115,3.544262295081967,3.8275342523318616,99.67637540453075,309.0,0.1840555843899158
10027,2.6819526132688205,2.7679738562091503,3.78322232665706,99.35483870967742,310.0,0.03107733216026081
10029,,1.9933993399339933,,0.0,307.0,
1003,5.009103111894327,6.394648829431438,6.814842622041553,99.33993399339934,303.0,0.21667268281568838
10031,4.0947929544228,4.575250836120401,5.500605878987028,99.33993399339934,303.0,0.10501235864589371
10032,2.682223680771848,3.0259740259740258,3.787901404116146,99.67948717948718,312.0,0.11359989948741504
10033,2.450765326663795,2.4139072847682117,3.2739835236462147,99.34640522875817,306.0,-0.015269037932052427
10034,2.107349124626631,2.501628664495114,2.8529035761295876,99.35691318327974,311.0,0.15760913898388573
10036,,2.6482084690553744,,0.0,311.0,
10037,2.483186558143977,2.5359477124183005,3.851565451253476,99.67741935483872,310.0,0.02080530052569968
10039,,3.2350993377483444,,0.0,306.0,
10041,1.8457797560712794,1.95,2.5608749246431413,99.67105263157895,304.0,0.0534462789378054
10042,3.810377446488133,4.1866666666666665,5.439289045667221,99.67105263157895,304.0,0.08987799845028667
1006,4.13021558723455,4.274834437086093,5.528096314978015,99.67320261437908,306.0,0.03383028091027581
1007,2.5625994055003343,2.7954545454545454,3.218947654411714,99.67948717948718,312.0,0.08329777364215683
1008,4.294569447776727,4.658064516129032,5.93896663579771,99.36305732484077,314.0,0.07803564486787722
10105,2.988092835678487,3.1357615894039736,3.886525979596394,100.0,306.0,0.04709183064952167
10107,3.210801618921298,3.168831168831169,4.849050161874217,99.35897435897436,312.0,-0.013244773184179985
10110,2.3342378944776745,2.6451612903225805,3.0657698698994347,99.36305732484077,314.0,0.11754421062429375
10113,3.4931732873549772,4.642622950819672,4.982988816019648,99.35275080906149,309.0,0.24758626225757907
10114,,3.1720779220779223,,0.0,312.0,
10115,2.4156795639802704,2.8627450980392157,3.3463460459008574,99.67741935483872,310.0,0.15616672765072748
1012,3.09861639057968,3.459016393442623,4.20930352059665,99.67637540453075,309.0,0.10419147002198827
1013,4.639858957339517,7.675409836065573,7.1237924337650105,99.67637540453075,309.0,0.3954903964166797
1014,,3.3636363636363638,,0.0,301.0,
1015,,4.791666666666667,,0.0,316.0,
10151,4.606826481587309,5.3019480519480515,6.131807216433209,99.67948717948718,312.0,0.13110682404844387
1016,3.1353517350964437,3.5827814569536423,4.724285695949608,99.34640522875817,306.0,0.1248833419601423
10161,2.7284043245243343,2.6346153846153846,3.8863569320116107,99.68354430379746,316.0,-0.03559872171726561
10162,2.0131300053719867,2.225589225589226,2.66322626677675,99.66777408637874,301.0,0.09546200968913766
10163,,3.60472972972973,,0.0,300.0,
10164,3.0766757708849632,3.6677740863787376,4.423919544624404,99.34426229508196,305.0,0.16115995739458883
10165,4.253752168818571,3.957792207792208,6.0206197018819605,100.0,312.0,-0.07477905495990146
10166,1.3044397814176503,1.4758842443729903,1.7013222170325037,99.68253968253968,315.0,0.11616389537932624
1017,2.57623257320443,2.633116883116883,3.341253546669573,99.35897435897436,312.0,0.021603412395851354
1018,,2.942953020134228,,0.0,302.0,
1020,4.238368898134729,5.154882154882155,6.130669956684995,100.0,301.0,0.17779519089091153
10201,2.696767904905097,2.9205298013245033,3.63806567029727,99.67320261437908,306.0,0.07661688516854957
10202,3.5332716135080418,3.9220779220779223,4.649424496427092,99.67948717948718,312.0,0.09913273430424105
10206,2.7466238799076264,2.947019867549669,3.7812273156343092,99.67320261437908,306.0,0.06799953737965943
10207,0.7452309718078193,0.07317073170731707,0.8480079806293587,100.0,127.0,-9.18482328137353
1021,3.209027655045245,3.295918367346939,4.042642843635779,99.66442953020133,298.0,0.0263631263330217
1022,,5.435643564356436,,0.0,307.0,
1023,3.9760466255088254,4.604575163398692,5.78602582624466,99.35483870967742,310.0,0.13650087480078021
1024,3.195283225643041,3.3890675241157555,4.416399735490444,99.36507936507937,315.0,0.057179237974396786
1025,2.362324061221244,2.0064935064935066,3.1416079365844185,99.67948717948718,312.0,-0.17733949976722196
1026,2.9183065316779353,3.5622895622895623,4.546436284506178,99.66777408637874,301.0,0.18077784507717695
11001,6.0930297589852085,7.699029126213592,8.445720550997555,99.36102236421725,313.0,0.2085976479502188
11002,2.9465522203465704,3.0483870967741935,3.943171082274267,99.36305732484077,314.0,0.03340614993922028
11003,,5.410169491525424,,0.0,299.0,
11004,5.122100015921618,5.406557377049181,6.8053597078428565,99.67637540453075,309.0,0.05261339911698392
11006,,5.641693811074918,,0.0,311.0,
11007,4.634821761956682,8.123333333333333,6.813001607968134,99.67105263157895,304.0,0.4294433612691815
11009,3.4460231391064173,4.0493421052631575,4.592430016469383,99.35064935064936,308.0,0.14899184866908938
11010,3.241122785410087,3.542483660130719,4.382141444830585,99.67741935483872,310.0,0.0850705052255658
11011,3.1613757584386413,3.5415282392026577,4.501314124203568,99.34426229508196,305.0,0.10734136651967068
11012,,3.4285714285714284,,0.0,305.0,
11014,4.363724368152939,5.055555555555555,6.101859740890613,99.35483870967742,310.0,0.13684572937634176
11016,2.5502852831582645,2.6655518394648827,3.4546061832121095,99.66996699669967,303.0,0.04324303680762716
11017,2.984824791674158,3.52027027027027,4.168797907438496,99.66666666666667,300.0,0.15210351407336778
11018,,4.855263157894737,,0.0,308.0,
11019,3.8095767286276567,4.826086956521739,5.320763814405202,99.33993399339934,303.0,0.21062824541949457
1102,4.110866555908137,4.445182724252492,5.791923722311973,99.672131147541,305.0,0.07520864474712315
11020,5.393296013083688,7.401315789473684,7.22806486477297,99.35064935064936,308.0,0.27130578312113723
11021,,2.48135593220339,,0.0,299.0,
