lag_15min,acf
0,1.0
1,0.5816488036020933
2,0.48262341448100865
3,0.36516197309524967
4,0.20667202426275907
5,0.13605027401689496
6,0.1304390350608676
7,0.0656338518711339
8,0.07165030682582452
9,0.04504163721650329
10,0.029006214431578383
11,-0.007657238037463566
12,-0.01766608883106841
13,-0.05014124521159612
14,-0.07065591805029037
15,-0.10042591098995496
16,-0.08123272978639438
17,-0.10164268666752663
18,-0.07871052199084176
19,-0.10392040883088875
20,-0.13493156841822349
21,-0.06302770440394738
22,-0.04636137923204895
23,-0.0343339832051076
24,-0.004177385281103644
25,0.023288501644993957
26,-0.015618574728228205
27,-0.012508615882389754
28,-0.02738448289689835
29,-0.0438521381202954
30,-0.08904648203940542
31,-0.09712008404392715
32,-0.08711286390323734
33,-0.05264037737856257
34,-0.07254546670890107
35,-0.06256062452293523
36,-0.03371265436488114
37,-0.04429939170612587
38,-0.05044953013779263
39,-0.028557020783851007
40,-0.03620944694876454
41,0.01186201589887519
42,0.014261114655926537
43,0.07369405882213989
44,0.058636146966057484
45,0.09229368981479796
46,0.0738710643909111
47,0.05735463872250984
48,0.05341649828804759
