zone,occ_mean,penury_rate,saturation_rate,cap_sum,n_obs
48.783|2.407,0.0,1.0,1.0,7406.0,161
48.763|2.338,0.0,1.0,1.0,161.0,161
48.901|2.213,0.0,1.0,1.0,3220.0,161
48.862|2.284,0.0,1.0,1.0,4830.0,161
48.841|2.278,0.0,1.0,1.0,10465.0,161
48.894|2.432,0.0,1.0,1.0,161.0,161
48.872|2.3,0.0,1.0,1.0,4025.0,161
48.85|2.452,0.0,1.0,1.0,4025.0,161
48.886|2.23,0.0,1.0,1.0,3703.0,161
48.885|2.26,0.0,1.0,1.0,2898.0,161
48.932|2.398,0.0,1.0,1.0,4830.0,161
48.877|2.392,0.0,1.0,1.0,4669.0,161
48.867|2.339,0.008488612836438923,0.7453416149068323,1.0,4830.0,161
48.877|2.37,0.017283283823926545,0.6024844720496895,1.0,3703.0,161
48.821|2.452,0.025786713286713284,0.22727272727272727,1.0,2288.0,22
48.851|2.362,0.05852059925093633,0.9044943820224719,1.0,2136.0,178
48.878|2.441,0.06898766700924974,0.3057553956834532,1.0,7784.0,278
48.879|2.412,0.08977671768369443,0.2971576227390181,1.0,15093.0,387
48.836|2.48,0.09236819727891156,0.11979166666666667,1.0,18816.0,384
48.884|2.44,0.09267807041361209,0.17585301837270342,1.0,11049.0,381
48.875|2.406,0.09947916666666667,0.18229166666666666,1.0,7680.0,384
48.839|2.316,0.1006742617995815,0.0639386189258312,1.0,12903.0,391
48.794|2.273,0.10595681310498883,0.13164556962025317,1.0,13430.0,395
48.802|2.316,0.10714285714285714,0.09693877551020408,1.0,9408.0,392
48.871|2.399,0.10965330788804072,0.15012722646310434,1.0,12576.0,393
48.869|2.409,0.110995670995671,0.3116883116883117,1.0,5775.0,385
48.864|2.416,0.11309090909090909,0.046753246753246755,1.0,19250.0,385
48.83|2.296,0.11380985426786953,0.06870229007633588,1.0,12969.0,393
48.822|2.299,0.11462101117273531,0.14588859416445624,1.0,12441.0,377
