station_id,type,start,end,steps
10003,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10004,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10005,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10006,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10008,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10009,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
1001,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10010,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10011,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10012,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10013,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10014,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10015,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10016,penury,2025-09-07 23:00:00,2025-09-08 02:15:00,14
10016,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10016,penury,2025-09-08 04:30:00,2025-09-08 07:45:00,14
10016,penury,2025-09-11 06:45:00,2025-09-11 07:30:00,4
10016,penury,2025-09-11 19:30:00,2025-09-11 21:15:00,8
10016,penury,2025-09-13 17:45:00,2025-09-13 20:15:00,11
10016,penury,2025-09-14 22:45:00,2025-09-15 02:00:00,14
10016,penury,2025-09-15 04:30:00,2025-09-15 05:30:00,5
10017,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10018,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10018,penury,2025-09-08 13:30:00,2025-09-08 15:30:00,9
10018,penury,2025-09-14 17:30:00,2025-09-14 18:30:00,5
10018,penury,2025-09-14 21:45:00,2025-09-15 05:30:00,32
10019,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
1002,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10020,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10020,penury,2025-09-08 09:45:00,2025-09-08 10:30:00,4
10021,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10021,penury,2025-09-10 15:15:00,2025-09-10 16:15:00,5
10021,penury,2025-09-11 08:45:00,2025-09-11 09:30:00,4
10021,penury,2025-09-15 22:15:00,2025-09-15 23:30:00,6
10023,penury,2025-09-07 23:00:00,2025-09-08 00:45:00,8
10023,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10023,penury,2025-09-13 19:15:00,2025-09-13 20:15:00,5
10023,penury,2025-09-13 22:15:00,2025-09-13 23:15:00,5
10023,penury,2025-09-15 23:15:00,2025-09-16 01:45:00,11
10023,penury,2025-09-16 11:45:00,2025-09-16 13:45:00,9
10023,penury,2025-09-17 18:45:00,2025-09-17 19:30:00,4
10025,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10026,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10027,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10029,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10029,penury,2025-09-14 22:45:00,2025-09-15 04:30:00,24
10029,penury,2025-09-15 08:45:00,2025-09-15 10:45:00,9
1003,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10031,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10031,penury,2025-09-08 08:15:00,2025-09-08 09:30:00,6
10032,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10033,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10033,penury,2025-09-14 19:15:00,2025-09-14 20:15:00,5
10034,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10034,penury,2025-09-10 15:30:00,2025-09-10 16:15:00,4
10036,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10036,penury,2025-09-16 11:15:00,2025-09-16 13:30:00,10
10037,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10037,penury,2025-09-07 23:30:00,2025-09-08 02:15:00,12
10037,penury,2025-09-08 22:30:00,2025-09-08 23:15:00,4
10039,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10041,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10041,penury,2025-09-10 11:15:00,2025-09-10 14:30:00,14
10041,penury,2025-09-13 13:30:00,2025-09-13 15:15:00,8
10041,penury,2025-09-14 10:45:00,2025-09-14 12:45:00,9
10042,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
1006,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
1007,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
1007,penury,2025-09-14 22:15:00,2025-09-14 23:15:00,5
1008,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10105,saturation,2025-09-07 23:15:00,2025-09-17 22:45:00,959
10107,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10107,penury,2025-09-17 10:45:00,2025-09-17 11:30:00,4
10110,saturation,2025-09-07 23:15:00,2025-09-17 22:45:00,959
10113,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10114,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10115,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
1012,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
1013,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
1014,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
1014,penury,2025-09-08 20:00:00,2025-09-08 22:30:00,11
1014,penury,2025-09-08 23:00:00,2025-09-08 23:45:00,4
1015,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10151,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10151,penury,2025-09-08 19:45:00,2025-09-08 22:00:00,10
1016,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10161,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10161,penury,2025-09-08 07:15:00,2025-09-08 08:45:00,7
10161,penury,2025-09-08 18:30:00,2025-09-08 20:00:00,7
10162,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10162,penury,2025-09-08 08:45:00,2025-09-08 10:00:00,6
10162,penury,2025-09-08 13:45:00,2025-09-08 15:00:00,6
10162,penury,2025-09-08 20:45:00,2025-09-08 21:45:00,5
10163,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10163,penury,2025-09-08 20:45:00,2025-09-08 21:45:00,5
10163,penury,2025-09-16 09:45:00,2025-09-16 10:45:00,5
10163,penury,2025-09-17 11:30:00,2025-09-17 13:30:00,9
10163,penury,2025-09-17 17:45:00,2025-09-17 18:45:00,5
10164,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10165,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10166,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
1017,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
1018,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
1018,penury,2025-09-17 20:45:00,2025-09-17 22:30:00,8
1020,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10201,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10202,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10202,penury,2025-09-15 08:45:00,2025-09-15 10:30:00,8
10206,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
10207,penury,2025-09-09 11:45:00,2025-09-11 21:15:00,231
10207,saturation,2025-09-09 11:45:00,2025-09-17 20:45:00,805
10207,penury,2025-09-14 09:45:00,2025-09-16 15:30:00,216
1021,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
1022,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
1022,penury,2025-09-08 19:45:00,2025-09-09 00:45:00,21
1022,penury,2025-09-15 19:45:00,2025-09-15 20:30:00,4
1022,penury,2025-09-15 21:15:00,2025-09-16 04:30:00,30
1023,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
1023,penury,2025-09-07 23:30:00,2025-09-08 02:15:00,12
1024,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
1025,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
1026,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11001,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11002,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11003,saturation,2025-09-07 23:00:00,2025-09-17 22:30:00,959
11003,penury,2025-09-08 08:15:00,2025-09-08 09:30:00,6
11003,penury,2025-09-15 07:45:00,2025-09-15 08:30:00,4
11003,penury,2025-09-16 08:45:00,2025-09-16 10:30:00,8
11004,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11006,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11007,saturation,2025-09-07 23:00:00,2025-09-17 22:30:00,959
11009,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11010,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11011,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11011,penury,2025-09-11 07:30:00,2025-09-11 08:45:00,6
11012,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11014,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11016,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11017,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11018,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11019,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11019,penury,2025-09-16 08:45:00,2025-09-16 09:45:00,5
11019,penury,2025-09-16 10:45:00,2025-09-16 11:30:00,4
1102,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11020,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11020,penury,2025-09-10 16:15:00,2025-09-10 18:00:00,8
11021,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11021,penury,2025-09-08 09:45:00,2025-09-08 10:45:00,5
11021,penury,2025-09-16 11:45:00,2025-09-16 12:45:00,5
11022,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11023,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11024,saturation,2025-09-07 23:00:00,2025-09-17 22:30:00,959
11025,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11026,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11027,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11028,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11029,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11030,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11030,penury,2025-09-16 09:45:00,2025-09-16 10:30:00,4
11031,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11032,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11033,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11034,saturation,2025-09-07 23:00:00,2025-09-17 22:30:00,959
11035,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11036,saturation,2025-09-07 23:00:00,2025-09-17 22:30:00,959
11037,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11038,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11039,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11039,penury,2025-09-11 08:00:00,2025-09-11 08:45:00,4
11039,penury,2025-09-11 10:30:00,2025-09-11 11:15:00,4
11040,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11041,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11042,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11043,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11044,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11046,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11047,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11048,saturation,2025-09-07 23:00:00,2025-09-17 22:15:00,958
11101,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11102,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11103,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11104,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11104,penury,2025-09-08 07:15:00,2025-09-08 08:15:00,5
11104,penury,2025-09-08 10:00:00,2025-09-08 10:45:00,4
11104,penury,2025-09-08 14:00:00,2025-09-08 15:00:00,5
11104,penury,2025-09-11 07:30:00,2025-09-11 09:15:00,8
11104,penury,2025-09-11 13:00:00,2025-09-11 15:45:00,12
11104,penury,2025-09-13 16:00:00,2025-09-13 17:30:00,7
11104,penury,2025-09-14 04:45:00,2025-09-14 05:45:00,5
11104,penury,2025-09-15 08:45:00,2025-09-15 11:15:00,11
11104,penury,2025-09-16 09:45:00,2025-09-16 11:15:00,7
11104,penury,2025-09-17 10:45:00,2025-09-17 13:45:00,13
11105,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11107,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11109,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11110,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11111,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11112,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11113,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11113,penury,2025-09-15 08:45:00,2025-09-15 09:45:00,5
11114,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
11115,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
1116,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
1117,saturation,2025-09-07 23:00:00,2025-09-17 22:45:00,960
