station_id,cluster
10003,3
10004,0
10005,1
10006,1
10008,0
10009,0
1001,3
10010,1
10011,1
10012,0
10013,5
10014,1
10015,0
10016,4
10017,1
10018,0
10019,1
1002,3
10020,1
10021,4
10023,4
10025,0
10026,0
10027,4
10029,4
1003,3
10031,5
10032,5
10033,4
10034,5
10036,0
10037,0
10039,0
10041,0
10042,1
1006,1
1007,3
1008,3
10105,3
10107,4
10110,0
10113,5
10114,5
10115,0
1012,3
1013,3
1014,3
1015,3
10151,4
1016,3
10161,4
10162,0
10163,2
10164,5
10165,3
10166,1
1017,3
1018,3
1020,3
10201,4
10202,0
10206,1
10207,5
1021,3
1022,3
1023,3
1024,3
1025,1
1026,3
11001,3
11002,0
11003,0
11004,1
11006,0
11007,0
11009,5
11010,5
11011,0
11012,5
11014,4
11016,5
11017,5
11018,2
11019,5
1102,3
11020,5
11021,0
11022,1
11023,5
11024,0
11025,1
11026,5
11027,5
11028,5
11029,0
11030,5
11031,5
11032,5
11033,1
11034,0
11035,0
11036,5
11037,1
11038,1
11039,5
11040,1
11041,0
11042,0
11043,1
11044,1
11046,1
11047,0
11048,0
11101,0
11102,5
11103,0
11104,2
11105,0
11107,1
11109,0
11110,5
11111,0
11112,5
11113,0
11114,0
11115,5
1116,3
1117,3
1119,3
1120,3
11201,4
12001,1
12002,1
12005,0
12006,3
12007,1
12008,1
12009,1
1201,3
12010,0
12011,1
12013,0
12015,5
12016,2
12017,4
12018,4
12019,4
12020,4
12022,0
12024,1
12026,1
12027,1
12028,2
12031,1
12032,0
12033,1
12034,1
12035,5
12036,5
12037,5
12038,5
12039,5
12040,1
12041,4
12043,0
12101,0
12102,1
12105,1
12106,1
12107,0
12108,1
12109,5
12111,5
12113,0
12114,5
12115,4
12119,1
12120,4
12122,4
12123,3
12125,1
12126,5
12127,3
12128,1
12129,1
12150,1
12151,3
12153,3
12154,4
12155,5
12156,0
12157,4
12161,1
12163,1
12164,3
12165,1
12166,3
12201,5
12202,0
12203,5
12204,0
12505,2
13001,0
13002,5
13005,4
13006,5
13007,5
13008,4
13009,4
13010,4
13011,4
13013,1
13015,1
13016,3
13017,5
13018,1
13019,1
13020,3
13022,5
13023,5
13024,5
13026,2
13027,5
13028,1
13030,4
13032,4
13033,3
