lag,acf
0,1.0
1,0.5816488036020934
2,0.48262341448100865
3,0.36516197309524967
4,0.20667202426275907
5,0.12446048704916245
6,0.1184090999879925
7,0.06070956784908
8,0.07365245762371801
9,0.04403432726259093
10,0.02523398520680287
11,-0.016512898745222746
12,-0.023079271425381378
13,-0.04991335811316681
14,-0.06213808825391348
15,-0.07501505980234228
16,-0.04828799662056968
17,-0.05899362953937995
18,-0.03931653589629083
19,-0.07669401387472645
20,-0.12837041996654736
21,-0.09520177220371252
22,-0.105179467073342
23,-0.11694815860498409
24,-0.09494811081456768
25,-0.0498967721405551
26,-0.07629041183093505
27,-0.06436695801755662
28,-0.052435965502210594
29,-0.05892801375220053
30,-0.10997152454247122
31,-0.1203253718046432
32,-0.10174433166798703
33,-0.08971372720508969
34,-0.0824430174642698
35,-0.06334701047077203
36,-0.026318022077758057
37,-0.03388242504773754
38,-0.03872989847615316
39,-0.029879156260649305
40,-0.02954909455251311
41,0.006005788879470377
42,0.012596262877703115
43,0.06527753567900829
44,0.06867169335735474
45,0.10934100022723549
46,0.10870510824171262
47,0.10073476976076727
48,0.08900806911590795
