bin,y_pred_mean,y_true_mean,n
"(-7.339, 2.477]",1.6967342497183464,1.6436635105608157,22072.0
"(2.477, 3.234]",2.8789375982480734,2.8546466535882113,22071.0
"(3.234, 3.858]",3.5470288680244537,3.468337067349458,22071.0
"(3.858, 4.497]",4.1813220886008144,4.095839048925469,22071.0
"(4.497, 5.144]",4.819146247244178,4.748692540600055,22071.0
"(5.144, 5.806]",5.474909759958086,5.371754361862894,22071.0
"(5.806, 6.51]",6.152987593020442,6.072036613272311,22071.0
"(6.51, 7.262]",6.870384232692649,6.8167841127482385,22071.0
"(7.262, 8.135]",7.6844684201809095,7.630607583371402,22071.0
"(8.135, 9.112]",8.604357912328338,8.594792477005445,22071.0
"(9.112, 10.236]",9.65826967329321,9.64457776149478,22071.0
"(10.236, 11.467]",10.840209745330293,10.864763473327843,22071.0
"(11.467, 12.846]",12.146757000180894,12.152299377061194,22071.0
"(12.846, 14.398]",13.599472310434429,13.633139880272358,22071.0
"(14.398, 16.223]",15.286482722965411,15.304742684157416,22071.0
"(16.223, 18.301]",17.241303767543762,17.27351876460615,22071.0
"(18.301, 20.893]",19.527329646929545,19.497183421112894,22071.0
"(20.893, 24.248]",22.495440185539717,22.47175516562056,22071.0
"(24.248, 30.189]",26.758469467439667,26.856138900372056,22071.0
"(30.189, 80.465]",39.04076849518204,39.334282172535694,22072.0
