hour,alpha,beta,n
0,,,26987.0
1,-0.5313107254399806,1.0390729379437202,26268.0
2,-0.16378045703829214,1.0291213793128458,4015.0
3,-0.6538391210847713,1.0349956263224727,3230.0
4,-0.3757720656640367,1.0196693717691068,7313.0
5,,,14602.0
6,0.20185296209364717,0.9916834295292806,15985.0
7,0.662923809772151,0.951637597134592,17168.0
8,0.16545891057349824,1.031278741208459,14418.0
9,,,20499.0
10,-0.1839067117158386,1.0283307090965526,16093.0
11,-0.17624877497615754,1.0198159923456007,19735.0
12,-0.017890281366111916,1.0094089098705088,19149.0
13,-0.11728573254602893,1.00913282086979,22231.0
14,0.1263004470256651,0.9928785530324756,10409.0
15,-0.06972403542462527,0.9990101658530317,15534.0
16,-0.09007697594705368,0.982725066044171,14090.0
17,,,27595.0
18,-0.09125488443612646,0.9919257744791897,20007.0
19,-0.032173228693678224,1.0033248521640874,23120.0
20,-0.08436948150490689,1.0104438720397428,22410.0
21,,,26517.0
22,,,29129.0
23,,,24918.0
