station_id,episodes_count,longest_steps
10003,0,0
10004,0,0
10005,0,0
10006,0,0
10008,0,0
10009,0,0
1001,0,0
10010,0,0
10011,0,0
10012,0,0
10013,0,0
10014,0,0
10015,0,0
10016,0,0
10017,0,0
10018,0,0
10019,0,0
1002,0,0
10020,0,0
10021,0,0
10023,0,0
10025,0,0
10026,0,0
10027,0,0
10029,0,1
1003,0,0
10031,0,0
10032,0,0
10033,0,0
10034,0,0
10036,0,0
10037,0,0
10039,0,0
10041,0,0
10042,0,0
1006,0,0
1007,0,0
1008,0,0
10105,0,0
10107,0,0
10110,0,0
10113,0,0
10114,0,0
10115,0,0
1012,0,0
1013,0,0
1014,0,0
1015,0,0
10151,0,0
1016,0,0
10161,0,0
10162,0,0
10163,0,0
10164,0,0
10165,0,0
10166,0,0
1017,0,0
1018,0,0
1020,0,0
10201,0,0
10202,0,2
10206,0,0
10207,0,0
1021,0,0
1022,0,0
1023,0,0
1024,0,0
1025,0,0
1026,0,0
11001,0,0
11002,0,0
11003,0,0
11004,0,0
11006,0,0
11007,0,0
11009,0,0
11010,0,0
11011,0,0
11012,0,0
11014,0,0
11016,0,0
11017,0,2
11018,0,0
11019,0,0
1102,0,0
11020,0,0
11021,0,0
11022,0,0
11023,0,0
11024,2,5
11025,0,0
11026,0,0
11027,0,0
11028,0,0
11029,0,0
11030,0,0
11031,0,0
11032,0,0
11033,0,0
11034,0,0
11035,0,0
11036,0,0
11037,0,0
11038,0,0
11039,0,0
11040,0,0
11041,0,0
11042,0,0
11043,0,0
11044,0,0
11046,0,0
11047,0,0
11048,2,5
11101,0,0
11102,0,0
11103,0,0
11104,0,0
11105,0,0
11107,0,0
11109,0,0
11110,0,0
11111,0,0
11112,0,0
11113,0,0
11114,0,0
11115,0,0
1116,0,0
1117,0,0
1119,0,0
1120,0,0
11201,0,0
12001,0,0
12002,0,0
12005,0,0
12006,0,0
12007,0,0
12008,0,0
12009,0,0
1201,0,0
12010,0,0
12011,0,0
12013,0,0
12015,0,0
12016,0,0
12017,0,0
12018,0,0
12019,0,0
12020,0,0
12022,0,0
12024,0,0
12026,0,0
12027,0,0
12028,0,0
12031,0,0
12032,0,0
12033,0,0
12034,0,0
12035,0,0
12036,0,0
12037,0,0
12038,0,0
12039,0,0
12040,0,0
12041,0,0
12043,1,4
12101,0,0
12102,0,0
12105,0,0
12106,0,0
12107,0,0
12108,0,0
12109,0,0
12111,0,0
12113,0,0
12114,0,0
12115,0,0
12119,0,0
12120,0,0
12122,0,0
12123,0,0
12125,0,0
12126,0,0
12127,0,0
12128,0,0
12129,0,0
12150,0,0
12151,0,0
12153,0,0
12154,0,0
12155,0,0
12156,0,0
12157,0,0
12161,0,0
12163,0,0
12164,0,0
12165,0,0
12166,0,0
12201,0,0
12202,0,0
12203,0,0
12204,0,0
12505,0,0
13001,0,0
13002,0,0
13005,0,0
13006,0,0
13007,0,0
13008,0,0
13009,0,0
13010,0,0
13011,0,0
13013,0,0
13015,0,0
13016,0,0
13017,0,0
13018,0,0
13019,0,0
13020,0,0
13022,0,0
13023,0,0
13024,0,0
13026,0,0
13027,0,0
13028,0,2
13030,0,0
13032,0,0
13033,0,0
13035,0,0
13036,0,0
13037,0,0
13039,0,0
13041,0,0
13043,0,0
13044,0,3
13045,0,0
13046,0,0
13047,0,0
13048,0,0
13049,0,0
13050,0,0
13051,0,0
13052,0,0
13053,1,4
13054,0,0
13055,0,0
13101,0,0
13102,0,0
13103,0,0
13104,0,0
13106,0,0
13109,0,0
13110,0,0
13113,0,0
13114,0,0
13116,0,0
13117,0,0
13118,0,0
13120,0,0
13121,0,0
13123,0,0
13125,0,0
13126,0,0
13128,0,0
13202,0,0
13203,0,0
13204,0,0
13205,0,0
13515,0,0
13516,0,0
14001,0,0
14002,0,0
14003,0,0
14004,0,0
14005,0,0
14006,0,0
14007,0,0
14008,0,0
14009,0,0
14010,0,0
14011,0,0
14012,0,0
14013,0,0
14014,0,0
14016,0,0
14018,0,0
14019,0,0
14020,0,0
14021,0,0
14022,0,0
14023,0,0
14025,0,0
14026,0,0
14027,0,0
14030,0,0
14031,0,3
14032,0,0
14034,0,0
14035,0,0
14036,0,0
14101,0,0
14103,0,0
14104,0,0
14106,0,0
14108,0,0
14110,0,0
14111,0,0
14112,0,0
14113,0,0
14116,0,0
14122,0,0
14124,0,0
14125,0,0
14127,0,0
14128,0,0
14130,0,0
14131,0,0
14132,0,0
14133,0,0
14135,0,0
14136,0,0
14137,0,0
14138,0,0
14139,0,0
14201,0,0
15001,0,0
15002,0,0
15003,0,0
15004,0,0
15005,0,0
15006,0,0
15008,0,0
15009,0,0
15010,0,0
15011,0,0
15012,0,0
15013,0,0
15014,0,0
15017,0,0
15018,0,0
15019,0,0
15020,0,0
15021,0,0
15022,0,0
15023,0,0
15024,0,0
15025,0,0
15026,0,0
15027,0,0
15028,0,0
15029,0,0
15030,0,0
15031,0,0
15032,0,0
15033,0,0
15034,0,0
15035,0,0
15038,0,0
15039,0,0
15040,0,0
15041,0,0
15042,0,0
15043,0,0
15044,0,0
15045,0,0
15046,0,0
15047,0,0
15050,0,0
15052,0,0
15053,0,0
15054,0,0
15055,0,0
15056,0,0
15057,0,0
15058,0,0
15059,0,0
15060,0,0
15061,0,0
15062,0,0
15063,0,0
15064,0,0
15067,0,0
15068,0,0
15069,0,0
15070,0,0
15071,0,0
15072,0,0
15103,0,0
15104,0,0
15105,0,0
15106,0,0
15107,0,0
15108,0,0
15109,0,0
15110,0,0
15111,0,0
15112,0,0
15113,0,0
15114,0,0
15120,0,0
15122,0,0
15123,0,0
15125,0,0
15127,0,0
15128,0,0
15129,0,0
15131,1,4
15132,0,0
15133,0,0
15201,0,0
15202,0,0
15203,0,0
15204,0,0
15311,0,0
16002,0,0
16003,0,0
16005,0,0
16006,1,4
16007,0,0
16008,0,0
16009,0,0
16010,0,0
16011,0,0
16012,0,0
16013,0,0
16014,0,0
16015,0,0
16017,0,0
16018,0,0
16019,0,0
16020,0,0
16021,0,0
16022,0,0
16023,0,0
16024,0,0
16025,0,0
16026,0,0
16027,0,0
16029,0,0
16031,0,0
16032,0,0
16033,0,0
16034,0,0
16036,0,0
16039,0,0
16040,0,0
16041,0,0
16042,0,0
16043,0,0
16044,0,0
16101,0,0
16102,0,0
16103,0,0
16104,0,0
16105,0,0
16107,0,0
16108,0,0
16110,0,0
16111,0,0
16112,0,0
16115,0,0
16116,0,0
16118,0,0
16121,0,0
16122,0,0
16123,0,0
16124,0,0
16129,0,0
16136,0,0
16138,0,0
16139,0,0
16140,0,0
16201,0,0
16202,0,0
17001,0,0
17003,0,0
17004,0,0
17005,0,0
17006,0,0
17007,0,0
17008,0,0
17010,0,0
17011,0,0
17013,0,0
17015,0,0
17016,0,0
17017,0,0
17018,0,0
17019,0,0
17020,0,0
17021,0,0
17022,0,0
17023,0,0
17024,0,0
17025,0,0
17026,0,0
17027,0,0
17028,0,3
17029,0,0
17030,0,0
17032,0,0
17033,0,0
17036,0,0
17037,0,0
17038,0,0
17039,0,0
17040,0,0
17041,0,0
17043,0,0
17044,0,0
17045,0,0
17046,0,0
17047,0,0
17048,0,0
17050,0,0
17102,0,0
17104,0,0
17105,0,0
17106,0,0
17107,0,0
17108,0,0
17110,0,0
17111,0,0
17116,0,0
17117,0,0
17119,0,0
17121,0,0
17122,0,0
17123,0,0
17124,0,0
17125,0,0
17126,0,0
17127,0,0
17201,0,0
17202,0,0
17203,0,0
17204,0,0
18003,0,0
18004,0,0
18005,0,0
18006,0,0
18007,0,0
18008,0,0
18009,0,0
18010,0,0
18011,0,0
18012,0,0
18014,0,0
18015,0,0
18016,0,0
18017,0,0
18018,0,0
18019,0,0
18020,0,0
18021,0,0
18022,0,0
18023,0,0
18024,0,0
18025,0,0
18026,0,0
18028,0,0
18029,0,0
18030,0,0
18032,1,4
18033,0,0
18034,0,0
18035,0,0
18039,0,0
18041,0,0
18042,0,0
18043,0,0
18044,0,0
18045,0,0
18046,0,0
18049,0,0
18101,0,0
18107,0,0
18109,0,0
18110,0,0
18111,0,0
18112,0,0
18113,0,0
18114,0,0
18134,0,0
18135,0,0
18137,0,0
18138,0,0
18139,0,0
18140,0,0
18141,0,0
18142,0,0
18201,0,0
18202,0,0
18204,0,0
18205,0,0
18206,0,0
19001,0,0
19002,0,0
19003,0,0
19005,0,0
19007,0,0
19008,0,3
19009,0,0
19010,0,0
19012,0,0
19013,0,0
19014,0,0
19015,0,0
19016,0,0
19018,0,0
19019,0,0
19021,0,0
19022,0,0
19023,0,0
19024,0,0
19025,0,0
19026,0,0
19029,0,0
19030,0,0
19031,0,0
19032,0,0
19033,0,0
19036,0,0
19037,0,0
19038,0,0
19039,0,0
19040,0,0
19041,0,0
19043,0,0
19044,0,0
19045,2,5
19046,0,0
19101,0,0
19103,0,0
19105,0,0
19108,0,0
19109,0,0
19110,0,0
19111,0,0
19113,0,0
19114,0,0
19115,0,0
19117,0,0
19120,0,0
19121,0,0
19123,0,3
19124,0,0
19125,1,4
19127,0,0
19128,0,0
19130,0,0
19201,0,0
19202,0,0
19203,0,0
19204,0,0
19205,0,0
19210,0,0
20001,0,0
20003,0,0
20004,0,0
20005,0,0
20006,0,0
20007,0,0
20008,0,0
20009,0,0
2001,0,0
20010,0,0
20011,0,0
20012,0,0
20013,0,0
20014,0,0
20016,0,0
20017,0,0
20019,0,0
2002,0,0
20020,0,0
20021,0,0
20022,0,0
20023,0,0
20024,0,0
20027,0,0
20029,0,0
2003,0,0
20030,0,0
20032,0,0
20033,0,0
20034,0,0
20035,0,0
20036,0,0
20037,0,0
20039,0,0
2004,0,0
20040,0,0
20042,0,0
20043,0,0
20044,0,0
20045,0,0
20047,0,0
20048,0,2
2005,0,0
2006,0,0
2008,0,0
2009,0,0
2010,0,0
20103,0,0
20104,0,0
20105,0,0
20106,0,0
20108,0,0
20110,0,0
20111,0,0
20113,0,0
20115,0,0
20116,0,0
20117,0,0
20118,0,0
20119,0,0
2012,0,0
20121,0,0
20122,0,0
2013,0,0
20131,0,0
20132,0,0
20134,0,0
20136,0,0
20137,0,0
2014,0,0
20140,0,1
20142,0,0
20143,0,0
2015,0,0
2016,0,0
2017,0,0
2020,0,0
20201,0,0
20202,0,0
20203,0,0
2021,0,0
2022,0,0
21001,0,0
21002,0,0
21003,0,0
21004,0,0
21005,0,0
21006,0,0
21007,0,0
21008,0,0
21009,0,0
2101,0,0
21010,0,0
21011,0,0
21013,0,0
