station_id,max_run,n
5031,21,401
8015,21,394
12157,21,402
7003,20,413
8001,18,405
7005,17,396
16036,17,405
7009,17,390
11036,17,390
11024,17,396
13010,17,391
12125,17,401
7023,16,396
16012,16,398
16027,16,396
44101,16,401
8018,16,404
1102,16,394
5123,16,402
6005,16,398
11029,16,394
5007,16,405
16201,15,408
5026,15,405
26005,15,398
42004,15,392
8050,15,418
15012,15,391
43009,15,403
9106,14,409
5003,14,407
8054,14,401
15003,14,399
8008,14,391
12151,14,397
17021,14,408
12204,14,398
16041,14,393
20047,14,390
8025,14,404
42019,14,408
13041,14,396
9024,14,398
5121,14,400
11001,14,402
22302,13,407
6026,13,399
16011,13,399
12203,13,397
8203,13,399
14036,13,396
8103,13,409
13116,13,390
16034,13,391
4007,13,397
43005,13,398
10202,13,399
5032,13,402
11020,13,393
7010,13,395
5116,13,404
12156,13,397
8031,13,405
11039,13,391
11113,13,395
11042,13,404
8033,13,400
11007,12,395
10107,12,403
11101,12,391
1021,12,388
21309,12,399
21011,12,400
9113,12,400
13204,12,395
8117,12,399
9017,12,401
10004,12,397
8102,12,397
33001,12,395
8549,12,405
21111,12,393
12155,12,398
17203,12,396
2008,12,399
12154,12,397
23004,12,396
19032,12,396
18049,12,397
42011,12,395
2003,12,391
11019,12,391
20001,12,395
3001,12,394
15125,12,400
16025,12,400
8201,12,405
14004,12,391
1119,12,386
26001,12,398
19018,12,390
32012,12,392
21313,11,397
21024,11,398
2021,11,392
11009,11,399
6015,11,398
6104,11,404
6032,11,403
11027,11,390
42503,11,402
7024,11,405
7015,11,401
11016,11,391
8017,11,389
12039,11,399
19002,11,396
3005,11,390
5107,11,407
19120,11,401
18032,11,391
12020,11,395
16118,11,408
12035,11,399
12033,11,395
18011,11,397
17038,11,395
17047,11,408
16136,11,397
8003,11,405
8035,11,397
8052,11,394
5001,11,400
8046,11,396
8045,11,394
16020,11,400
12122,11,395
15055,11,394
15133,11,397
32010,11,403
13036,11,390
16029,11,393
15127,11,396
35001,11,394
15062,11,392
13054,11,385
4019,11,404
15023,11,396
15104,11,400
15058,11,389
13117,11,397
9023,11,402
9025,11,392
9032,10,405
1003,10,389
21308,10,406
10113,10,398
11004,10,398
21109,10,392
21108,10,397
2108,10,394
21320,10,404
14002,10,402
13016,10,390
9031,10,398
22013,10,396
21114,10,399
21006,10,397
21004,10,403
21029,10,394
6014,10,392
6013,10,401
6017,10,407
4018,10,397
4015,10,392
14005,10,398
20039,10,401
2009,10,400
7102,10,397
42003,10,399
41604,10,404
2001,10,394
26008,10,405
12011,10,392
42010,10,398
12153,10,391
11114,10,395
12043,10,397
31009,10,396
3007,10,404
17110,10,388
41404,10,400
15014,10,401
17043,10,404
31018,10,391
5028,10,397
5020,10,400
17027,10,388
13005,10,391
12031,10,408
12026,10,403
5005,10,408
8040,10,408
13008,10,401
41212,10,407
34013,10,406
13055,10,407
44002,10,403
12201,10,386
13035,10,396
15072,10,400
15052,10,403
15112,10,405
15107,10,404
15028,10,401
15025,10,403
15022,10,383
11026,10,394
10151,10,402
9115,10,403
10018,10,395
10013,9,389
92005,9,395
10015,9,387
14001,9,397
13015,9,396
13118,9,411
9111,9,395
15064,9,391
21302,9,397
21301,9,401
21307,9,406
10006,9,391
33009,9,395
33005,9,392
33012,9,407
15032,9,407
21218,9,386
15030,9,399
21511,9,404
47005,9,396
15042,9,403
21022,9,394
21017,9,395
31202,9,395
12161,9,392
13101,9,400
32004,9,391
15009,9,390
15008,9,401
15040,9,392
4001,9,400
15069,9,399
