station_id,mae_model,mae_baseline,rmse_model,rmse_baseline,coverage_pred_pct,n,lift_vs_baseline
10003,,0.0,,0.0,0.0,386.0,
10004,5.322385204679747,0.0,7.286022036634871,0.0,99.48586118251927,389.0,
10005,,0.0,,0.0,0.0,387.0,
10006,3.983096566891374,0.0,5.323953386924075,0.0,99.73753280839895,381.0,
10008,2.115163600912325,0.0,2.7667980479501773,0.0,99.49238578680203,394.0,
10009,2.456935670778001,0.0,3.275776566458419,0.0,99.74160206718346,387.0,
1001,3.009435395950452,0.0,4.0932293662224,0.0,99.74619289340102,394.0,
10010,3.7182937968206597,0.0,4.9603911941031456,0.0,99.48849104859335,391.0,
10011,2.477637484035367,0.0,3.388464617558122,0.0,99.74226804123711,388.0,
10012,2.555524488593624,0.0,3.4473491450658464,0.0,99.48849104859335,391.0,
10013,4.695059936956967,0.0,6.7953364422757225,0.0,99.47506561679789,381.0,
10014,4.734606508168044,0.0,6.453556236747633,0.0,99.46808510638297,376.0,
10015,3.0343574719236597,0.0,3.939750841751504,0.0,99.47089947089947,378.0,
10016,,0.0,,0.0,0.0,392.0,
10017,2.0900244267749675,0.0,2.7247317631519645,0.0,99.74424552429667,391.0,
10018,2.822780252081639,0.0,3.769677554826803,0.0,99.48320413436691,387.0,
10019,3.928628872435265,0.0,5.529015362612551,0.0,99.4949494949495,396.0,
1002,,0.0,,0.0,0.0,384.0,
10020,1.8288997788324686,0.0,2.232239982837978,0.0,99.74160206718346,387.0,
10021,1.879625524612805,0.0,2.379025751565773,0.0,99.74683544303798,395.0,
10023,,0.0,,0.0,0.0,389.0,
10025,,0.0,,0.0,0.0,391.0,
10026,2.8499816430141087,0.0,3.7458108045456875,0.0,99.74093264248705,386.0,
10027,2.6674881474508285,0.0,3.8640655507631094,0.0,99.48717948717949,390.0,
10029,,0.0,,0.0,0.0,392.0,
1003,5.013069817721299,0.0,6.811119817485911,0.0,99.47368421052632,380.0,
10031,3.7561385046252456,0.0,5.038508448787445,0.0,99.47916666666666,384.0,
10032,2.503824849134746,0.0,3.4889543434896657,0.0,99.74619289340102,394.0,
10033,2.4959388532599194,0.0,3.40313367520434,0.0,99.48320413436691,387.0,
10034,2.1703794073729914,0.0,2.9732627108237577,0.0,99.48586118251927,389.0,
10036,,0.0,,0.0,0.0,389.0,
10037,2.121624378500329,0.0,3.151438406196275,0.0,99.74226804123711,388.0,
10039,,0.0,,0.0,0.0,383.0,
10041,1.753945157874483,0.0,2.394749683537105,0.0,99.73890339425587,383.0,
10042,3.976434358858902,0.0,5.96326599638404,0.0,99.74093264248705,386.0,
1006,4.1259956429488485,0.0,5.524082982231724,0.0,99.74160206718346,387.0,
1007,2.535807289676503,0.0,3.2323309243842377,0.0,99.74358974358975,390.0,
1008,4.087935110888126,0.0,5.710239707717557,0.0,99.48979591836735,392.0,
10105,3.1145287370707058,0.0,4.053680776232896,0.0,100.0,381.0,
10107,3.262761179790045,0.0,4.878614297579696,0.0,99.49238578680203,394.0,
10110,2.1517661242712918,0.0,2.790790368710223,0.0,99.48849104859335,391.0,
10113,3.308558824466932,0.0,4.620737580779226,0.0,99.48717948717949,390.0,
10114,,0.0,,0.0,0.0,390.0,
10115,2.4005778100878823,0.0,3.327538853905336,0.0,99.74619289340102,394.0,
1012,3.0334011210726364,0.0,4.117441085612908,0.0,99.74160206718346,387.0,
1013,4.387910224179991,0.0,6.707441161728359,0.0,99.74424552429667,391.0,
1014,,0.0,,0.0,0.0,384.0,
1015,,0.0,,0.0,0.0,396.0,
10151,4.460816664390309,0.0,6.067361011285383,0.0,99.74554707379136,393.0,
1016,3.198009118605312,0.0,4.798910160547575,0.0,99.48186528497409,386.0,
10161,2.7819575156482124,0.0,3.9497367376958747,0.0,99.75062344139651,401.0,
10162,2.0567337743690155,0.0,2.7178816785400683,0.0,99.73753280839895,381.0,
10163,,0.0,,0.0,0.0,382.0,
10164,2.838496235609941,0.0,3.9618724441437503,0.0,99.48320413436691,387.0,
10165,3.987550900934977,0.0,5.701379959054661,0.0,100.0,392.0,
10166,1.5229255080138844,0.0,2.070588500215563,0.0,99.74619289340102,394.0,
1017,2.571239178611571,0.0,3.480972174738953,0.0,99.49238578680203,394.0,
1018,,0.0,,0.0,0.0,384.0,
1020,4.184690982188689,0.0,6.242261087033326,0.0,100.0,382.0,
10201,2.7929283935842384,0.0,3.765216117723168,0.0,99.74093264248705,386.0,
10202,3.390080846305563,0.0,4.542857302832065,0.0,99.74293059125964,389.0,
10206,2.8575433917629494,0.0,4.0295135793144174,0.0,99.73958333333334,384.0,
10207,0.7401848006682484,0.0,0.8368118206789373,0.0,100.0,161.0,
1021,3.0965206678202333,0.0,3.9949636673787468,0.0,99.73474801061008,377.0,
1022,,0.0,,0.0,0.0,389.0,
1023,3.9349478052629716,0.0,5.901108636990786,0.0,99.48717948717949,390.0,
1024,3.110807585169412,0.0,4.34119001630331,0.0,99.4949494949495,396.0,
1025,2.4114223555326273,0.0,3.2925831036065096,0.0,99.74424552429667,391.0,
1026,3.052889232592034,0.0,4.847296592673479,0.0,99.73684210526315,380.0,
11001,5.719041368918578,0.0,7.746517416624107,0.0,99.49109414758269,393.0,
11002,2.922389752402594,0.0,3.922410230242207,0.0,99.49109414758269,393.0,
11003,,0.0,,0.0,0.0,380.0,
11004,4.73688205737514,0.0,6.294249326784607,0.0,99.74293059125964,389.0,
11006,,0.0,,0.0,0.0,391.0,
11007,4.410053502394622,0.0,6.083447368459742,0.0,99.74160206718346,387.0,
11009,3.2823644603020785,0.0,4.319031189235473,0.0,99.48453608247422,388.0,
11010,2.994967672562776,0.0,3.9889474867293786,0.0,99.74424552429667,391.0,
11011,3.091426653764769,0.0,4.363630993218956,0.0,99.48586118251927,389.0,
11012,,0.0,,0.0,0.0,386.0,
11014,4.392311187379064,0.0,6.116255258392391,0.0,99.47780678851174,383.0,
11016,2.54711201906648,0.0,3.5378101206927433,0.0,99.73821989528795,382.0,
11017,2.759801826879451,0.0,3.8515014569088373,0.0,99.73684210526315,380.0,
11018,,0.0,,0.0,0.0,388.0,
11019,3.7051517934337213,0.0,5.110208805404613,0.0,99.47643979057592,382.0,
1102,4.1995243359623355,0.0,5.961780365509103,0.0,99.73890339425587,383.0,
11020,5.257448306188237,0.0,7.543375014762686,0.0,99.48051948051948,385.0,
11021,,0.0,,0.0,0.0,378.0,
11022,2.1728710252485883,0.0,2.72820438043776,0.0,99.73958333333334,384.0,
11023,4.30863975441962,0.0,6.527426754086861,0.0,99.73958333333334,384.0,
11024,5.416319417806814,0.0,7.628547417391976,0.0,99.48320413436691,387.0,
11025,4.990263074003538,0.0,6.452468347900089,0.0,99.74424552429667,391.0,
11026,4.730215112604097,0.0,6.3991793186332,0.0,100.0,382.0,
11027,3.5834676401206913,0.0,4.9741222511145,0.0,99.47643979057592,382.0,
11028,,0.0,,0.0,0.0,389.0,
11029,4.623845602860937,0.0,6.241283800436064,0.0,99.73958333333334,384.0,
11030,3.35419935854082,0.0,4.468652939787525,0.0,99.46949602122017,377.0,
11031,3.729969186984727,0.0,4.944558098394102,0.0,99.74619289340102,394.0,
11032,,0.0,,0.0,0.0,388.0,
11033,3.96394600906536,0.0,5.1041950381699115,0.0,99.49367088607595,395.0,
11034,3.9698222954465474,0.0,5.56283090372547,0.0,99.74160206718346,387.0,
11035,,0.0,,0.0,0.0,387.0,
11036,4.933858489141257,0.0,7.059410073906276,0.0,99.47643979057592,382.0,
11037,,0.0,,0.0,0.0,386.0,
11038,3.5650771853690744,0.0,5.370170803857969,0.0,99.74489795918367,392.0,
11039,3.1472255237077635,0.0,4.486426008465157,0.0,99.73684210526315,380.0,
11040,3.6209902856155343,0.0,5.256121819934561,0.0,99.74683544303798,395.0,
