hour,alpha,beta,n
0,,,18441.0
1,-0.6201485414451329,1.037329596121087,18359.0
2,-0.6786754654849801,1.055421868270425,1115.0
3,-0.6538391210847713,1.0349956263224727,3230.0
4,-0.39788028989851787,1.01946586910859,6388.0
5,,,12915.0
6,0.2891839553615427,0.9838943505218961,13222.0
7,0.8201180135538203,0.9351533840035864,14414.0
8,0.19476803010908716,1.023619790573753,12610.0
9,,,16929.0
10,-0.21191579471035532,1.0268211640982652,14293.0
11,-0.19494413029611682,1.0208040301086647,16530.0
12,-0.07546890947961693,1.0162860385636663,15033.0
13,-0.22246912901538812,1.0212941229781631,17779.0
14,0.12031935803315483,0.989170396975539,7070.0
15,-0.08409012122054459,1.0020702851541385,12590.0
16,-0.09847736274444752,0.9825318925000238,12100.0
17,,,20086.0
18,0.10441206663738006,0.9746330204447091,12798.0
19,0.09851296340239817,0.9979147951748788,17301.0
20,-0.00838523498650231,1.0116712400732335,15777.0
21,,,21251.0
22,,,21675.0
23,,,18394.0
