hour,mae_model,mae_baseline,coverage_pred_pct,n,lift_vs_baseline
0,1.988731307850274,1.970797666843421,75.58324496288441,26404.0,-0.009099686542442881
1,2.650784651879778,2.641951340410591,75.83543310339131,24209.0,-0.0033434800005870567
2,2.7241890143739704,2.9598912304554723,75.79877634262407,1471.0,0.07963205325123777
3,2.109872850312914,1.7952830188679245,75.87502936340145,4257.0,-0.17523133017955275
4,1.8802331425619048,1.8283236307472972,75.89402399904954,8417.0,-0.028391861780723365
5,1.8830155957280827,1.8677136639021235,75.89023387001997,17018.0,-0.008192868169090603
6,3.0228096735949315,3.511753239307419,75.80552688911823,17442.0,0.13923061570491096
7,4.2867119609403925,5.419320929254704,75.75948701776515,19026.0,0.20899462923486145
8,4.496858799877475,5.518554101116849,75.71754533445419,16654.0,0.18513822325898782
9,3.310085228391252,3.860325697924123,75.67724631202503,22370.0,0.1425373174674771
10,2.5102677648015335,2.6120082596494942,75.67639116852862,18887.0,0.03895106168677022
11,2.556685640439595,2.6413925966698777,75.82220999036741,21801.0,0.03206905188462955
12,2.4620939663766896,2.533481019031316,75.68724196959018,19862.0,0.028177457071267727
13,2.687257777464852,2.7912228376651043,75.75202386024712,23470.0,0.037247137275224
14,2.7517752123449988,2.9394556365195026,75.76082297471068,9332.0,0.06384870104613283
15,2.771988623727569,2.9681610675406764,73.68605876155917,17086.0,0.06609225016742425
16,2.997182894146204,3.450397392646807,69.17843462352067,17491.0,0.13135139142710192
17,3.5261057085731875,4.253881869386513,75.54820024824163,26587.0,0.1710851836415203
18,3.678916073605616,4.269522085930692,75.72332998047453,16901.0,0.13833070784931492
19,3.323160932177732,3.7242344162909995,75.75863729911984,22837.0,0.10769286765592494
20,2.720468241766757,2.8560599852495288,75.7067934114562,24406.0,0.047475103528305335
21,2.7834247268884194,2.8840035028825803,75.62212654163322,27406.0,0.034874706599222864
22,2.961753838718251,3.0465411259635085,75.74397502195336,30747.0,0.027830672142475088
23,2.5711531950415734,2.9621380846325165,75.80984774862326,24696.0,0.13199414693709285
