lag_15min,acf
0,1.0
1,0.5988153451609007
2,0.4795057000458681
3,0.33389832475917985
4,0.15085318816491555
5,0.05512557220355248
6,0.03283447441531916
7,-0.023634617699280082
8,-0.009487984845827831
9,-0.014863119665174684
10,-0.010845624874950622
11,-0.026745500553612696
12,-0.024618340057093367
13,-0.052701257826559815
14,-0.06868675785647659
15,-0.09868208374831058
16,-0.08594118368134827
17,-0.10628134946387098
18,-0.08294593222452404
19,-0.10135931349975345
20,-0.12234864820559557
21,-0.047127538776816094
22,-0.021671512842696833
23,-0.003989574827942131
24,0.02695110317203213
25,0.05041211995292308
26,0.011291765145839893
27,-0.013168604737155698
28,-0.056704656953291646
29,-0.10936411128959554
30,-0.16130821797297576
31,-0.1683145814519281
32,-0.14254459212047826
33,-0.0857976259523533
34,-0.0811115429987199
35,-0.05826682590182719
36,-0.03794579406084365
37,-0.06022205350163344
38,-0.07095549271760164
39,-0.05638150484343161
40,-0.06087710121749466
41,-0.0064126378544013315
42,0.006396933063871953
43,0.06168148544507177
44,0.045657779401371494
45,0.06756734601215231
46,0.04354148314186712
47,0.027621347685417318
48,0.028269327283378838
